"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","trimethoprim/sulfamethoxazole","Intermediate","13","","13","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.506","Acinetobacter nosocomialis MGL_55","ampicillin","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","chloramphenicol","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","ciprofloxacin","Susceptible","21","","21","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"903917.3","Acinetobacter baumannii WC-487","levofloxacin","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
106654,"106654.148","Acinetobacter nosocomialis strain 328","trimethoprim/sulfamethoxazole","Susceptible","1/19","<=","1/19","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"106654.496","Acinetobacter nosocomialis MGL_55","ampicillin","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.148","Acinetobacter nosocomialis strain 328","tobramycin","Intermediate","8","=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"106654.506","Acinetobacter nosocomialis MGL_55","carbenicillin","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"106654.506","Acinetobacter nosocomialis MGL_55","ciprofloxacin","Susceptible","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","doxycycline","Susceptible","18","","18","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.148","Acinetobacter nosocomialis strain 328","levofloxacin","Intermediate","4","=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ciprofloxacin","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
106654,"903917.3","Acinetobacter baumannii WC-487","ceftazidime","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","penicillin","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.148","Acinetobacter nosocomialis strain 328","ciprofloxacin","Intermediate","2","=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"106654.506","Acinetobacter nosocomialis MGL_55","trimethoprim/sulfamethoxazole","Intermediate","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"106654.506","Acinetobacter nosocomialis MGL_55","rifampin","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"106654.506","Acinetobacter nosocomialis MGL_55","penicillin","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"106654.506","Acinetobacter nosocomialis MGL_55","doxycycline","Susceptible","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"106654.148","Acinetobacter nosocomialis strain 328","ceftriaxone","Intermediate","16","=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"106654.148","Acinetobacter nosocomialis strain 328","meropenem","Susceptible","1","=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"106654.506","Acinetobacter nosocomialis MGL_55","chloramphenicol","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"106654.148","Acinetobacter nosocomialis strain 328","cefepime","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","imipenem","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
106654,"106654.148","Acinetobacter nosocomialis strain 328","gentamicin","Resistant","16",">=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"106654.148","Acinetobacter nosocomialis strain 328","ceftazidime","Intermediate","16","=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"106654.496","Acinetobacter nosocomialis MGL_55","carbenicillin","Resistant","15","","15","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.506","Acinetobacter nosocomialis MGL_55","erythromycin","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
106654,"903917.3","Acinetobacter baumannii WC-487","amikacin","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
106654,"903917.3","Acinetobacter baumannii WC-487","tobramycin","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
106654,"106654.148","Acinetobacter nosocomialis strain 328","tetracycline","Intermediate","8","=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","gentamicin","Susceptible","","","","","Broth dilution","","BD Phoenix NMIC/ID133","BD","CLSI",2009,"","","","Laboratory Method","","[26195261]"
106654,"903917.3","Acinetobacter baumannii WC-487","amikacin","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.93, CI[0.91, 0.95]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ampicillin","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.98, 1.01]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","aztreonam","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.90, CI[0.89, 0.92]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ceftazidime","","8.0","","8.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.87, CI[0.83, 0.91]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","cefazolin","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.97, 1.00]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ciprofloxacin","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.98, CI[0.97, 0.99]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ceftriaxone","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.99, CI[0.99, 1.00]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","cefotaxime","","16.0","","16.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.97, CI[0.95, 1.00]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","cefoxitin","","64.0","","64.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","gentamicin","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.97, CI[0.95, 0.99]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","imipenem","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.92, CI[0.88, 0.96]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","levofloxacin","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.95, CI[0.91, 0.99]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","meropenem","","0.5","","0.5","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.89, CI[0.85, 0.92]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","nitrofurantoin","","512.0","","512.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 1.00, CI[1.00, 1.00]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ampicillin/sulbactam","","4.0","","4.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.91, CI[0.87, 0.96]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","tetracycline","","4.0","","4.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.96, CI[0.94, 0.99]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","tobramycin","","2.0","","2.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.94, CI[0.92, 0.96]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","trimethoprim/sulfamethoxazole","","1.0","","1.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.71, CI[0.66, 0.76]","Computational Method","",""
106654,"106654.496","Acinetobacter nosocomialis MGL_55","erythromycin","","16","","16","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","kanamycin","","19","","19","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","tetracycline","","11","","11","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","imipenem","","22","","22","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","streptomycin","","15","","15","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","rifampin","","9","","9","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","polymyxin B","","10","","10","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","spectinomycin","","17","","17","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","nalidixic acid","","16","","16","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"106654.496","Acinetobacter nosocomialis MGL_55","neomycin","","14","","14","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
106654,"903917.3","Acinetobacter baumannii WC-487","amikacin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.91, 0.98]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ceftazidime","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.90, CI[0.86, 0.94]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ciprofloxacin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.95, CI[0.91, 0.99]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","gentamicin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.91, CI[0.87, 0.95]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","imipenem","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.98]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","levofloxacin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","meropenem","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.94, CI[0.90, 0.99]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","ampicillin/sulbactam","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.93, CI[0.89, 0.97]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","tetracycline","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.96, CI[0.92, 0.99]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","tobramycin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.86, 0.91]","Computational Method","",""
106654,"903917.3","Acinetobacter baumannii WC-487","trimethoprim/sulfamethoxazole","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.88, CI[0.80, 0.97]","Computational Method","",""
