"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1282,"1282.4523","Staphylococcus epidermidis strain Sep_C26_CVC_2018","oxacillin","Resistant",">=4",">=","4","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4504","Staphylococcus epidermidis strain Sep_C17_HC_2017","clindamycin","Resistant",">=4",">=","4","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4531","Staphylococcus epidermidis strain Sep_C23_CVC_2018","gentamicin","Resistant","4","","4","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4531","Staphylococcus epidermidis strain Sep_C23_CVC_2018","teicoplanin","Resistant","8","","8","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4520","Staphylococcus epidermidis strain Sep_A30_HC_2019","daptomycin","Susceptible","0.5","","0.5","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.6528","Staphylococcus epidermidis ST20160133","clindamycin","Resistant","","","","","","","","Thermo Fisher Scientific","French Committee for Antimicrobial Susceptibility Testing",2019,"","","","Laboratory Method","","[35425984]"
1282,"1282.6520","Staphylococcus epidermidis ST20181126","tetracycline","Resistant","","","","","","","","Thermo Fisher Scientific","French Committee for Antimicrobial Susceptibility Testing",2019,"","","","Laboratory Method","","[35425984]"
1282,"1282.4514","Staphylococcus epidermidis strain Sep_B29_CVC_2018","trimethoprim/sulfamethoxazole","Resistant","160","","160","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.6519","Staphylococcus epidermidis ST20171481","erythromycin","Resistant","","","","","","","","Thermo Fisher Scientific","French Committee for Antimicrobial Susceptibility Testing",2019,"","","","Laboratory Method","","[35425984]"
1282,"1282.4515","Staphylococcus epidermidis strain Sep_A30_CVC_2019","clindamycin","Susceptible","0.25","","0.25","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4530","Staphylococcus epidermidis strain Sep_C24_HC_2018","levofloxacin","Resistant",">=8",">=","8","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4531","Staphylococcus epidermidis strain Sep_C23_CVC_2018","fusidic acid","Resistant","16","","16","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4522","Staphylococcus epidermidis strain Sep_C32_CVC_2019","clindamycin","Susceptible","0.25","","0.25","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4538","Staphylococcus epidermidis strain Sep_C28_HC_2019","teicoplanin","Resistant","16","","16","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4538","Staphylococcus epidermidis strain Sep_C28_HC_2019","erythromycin","Susceptible","1","","1","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.6529","Staphylococcus epidermidis ST20170658","levofloxacin","Resistant","","","","","","","","Thermo Fisher Scientific","French Committee for Antimicrobial Susceptibility Testing",2019,"","","","Laboratory Method","","[35425984]"
1282,"1282.4540","Staphylococcus epidermidis strain Sep_C25_CVC_2018","levofloxacin","Resistant",">=8",">=","8","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4536","Staphylococcus epidermidis strain Sep_C23_HC_2018","trimethoprim/sulfamethoxazole","Resistant","160","","160","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4540","Staphylococcus epidermidis strain Sep_C25_CVC_2018","trimethoprim/sulfamethoxazole","Resistant","160","","160","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4538","Staphylococcus epidermidis strain Sep_C28_HC_2019","clindamycin","Susceptible","0.25","","0.25","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.4504","Staphylococcus epidermidis strain Sep_C17_HC_2017","teicoplanin","Resistant","8","","8","mg/L","MIC","","","BioMerieux","EUCAST",2017,"","","","Laboratory Method","","[35189301]"
1282,"1282.2719","Staphylococcus epidermidis strain CSF41498","linezolid","Susceptible","==2","=","2","mg/L","Broth dilution","","MicroScan","Siemens","CLSI","","","","","Laboratory Method","",""
