"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1283,"1283.388","Staphylococcus haemolyticus 7067_4_62","rifampin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.405","Staphylococcus haemolyticus 7067_4_83","tetracycline","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.372","Staphylococcus haemolyticus 7067_4_43","tetracycline","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.394","Staphylococcus haemolyticus 7067_4_68","erythromycin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.401","Staphylococcus haemolyticus 7067_4_75","rifampin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.357","Staphylococcus haemolyticus 7067_4_30","ciprofloxacin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.461","Staphylococcus haemolyticus 7068_7_56","fosfomycin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.442","Staphylococcus haemolyticus 7068_7_38","oxacillin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.468","Staphylococcus haemolyticus 7068_7_63","fosfomycin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.437","Staphylococcus haemolyticus 7068_7_32","fusidic acid","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.409","Staphylococcus haemolyticus 7067_4_87","trimethoprim","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.360","Staphylococcus haemolyticus 7067_4_33","tetracycline","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.437","Staphylococcus haemolyticus 7068_7_32","tetracycline","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.442","Staphylococcus haemolyticus 7068_7_38","daptomycin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.366","Staphylococcus haemolyticus 7067_4_41","rifampin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.407","Staphylococcus haemolyticus 7067_4_85","fusidic acid","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.463","Staphylococcus haemolyticus 7068_7_58","ciprofloxacin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.402","Staphylococcus haemolyticus 7067_4_78","gentamicin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.473","Staphylococcus haemolyticus 7068_7_7","linezolid","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.377","Staphylococcus haemolyticus 7067_4_47","oxacillin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.391","Staphylococcus haemolyticus 7067_4_65","tetracycline","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.433","Staphylococcus haemolyticus 7068_7_29","rifampin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.387","Staphylococcus haemolyticus 7067_4_61","gentamicin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.799","Staphylococcus haemolyticus strain SCAID PHRX1-2019","clindamycin","Susceptible","==25","=","25","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
1283,"1283.429","Staphylococcus haemolyticus 7068_7_25","ciprofloxacin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.470","Staphylococcus haemolyticus 7068_7_65","rifampin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.417","Staphylococcus haemolyticus 7068_7_12","oxacillin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.633","Staphylococcus haemolyticus strain 0878-2001-2009","ampicillin/sulbactam","Resistant",">16/8",">","16/8","mg/L","Broth dilution","","BD Phoenix","BD","EUCAST","","","","","Laboratory Method","",""
1283,"1283.394","Staphylococcus haemolyticus 7067_4_68","rifampin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.399","Staphylococcus haemolyticus 7067_4_74","ciprofloxacin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.429","Staphylococcus haemolyticus 7068_7_25","erythromycin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.472","Staphylococcus haemolyticus 7068_7_67","mupirocin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.460","Staphylococcus haemolyticus 7068_7_55","ciprofloxacin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.406","Staphylococcus haemolyticus 7067_4_84","oxacillin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.438","Staphylococcus haemolyticus 7068_7_33","rifampin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.436","Staphylococcus haemolyticus 7068_7_3","rifampin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.451","Staphylococcus haemolyticus 7068_7_46","fosfomycin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.467","Staphylococcus haemolyticus 7068_7_62","daptomycin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.459","Staphylococcus haemolyticus 7068_7_54","mupirocin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.405","Staphylococcus haemolyticus 7067_4_83","gentamicin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.363","Staphylococcus haemolyticus 7067_4_34","ciprofloxacin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.429","Staphylococcus haemolyticus 7068_7_25","vancomycin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.359","Staphylococcus haemolyticus 7067_4_35","oxacillin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.366","Staphylococcus haemolyticus 7067_4_41","mupirocin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.473","Staphylococcus haemolyticus 7068_7_7","oxacillin","Resistant","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.417","Staphylococcus haemolyticus 7068_7_12","erythromycin","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
1283,"1283.363","Staphylococcus haemolyticus 7067_4_34","tetracycline","Susceptible","","","","","Broth dilution","","E-test","AB Biodisk","EUCAST",2014,"","","","Laboratory Method","","[25038069]"
