"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1290,"1290.604","Staphylococcus hominis CNS186","mupirocin","","4","","4","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.602","Staphylococcus hominis 1D-364","norfloxacin","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1290,"1290.599","Staphylococcus hominis CNS242","teicoplanin","","16","","16","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.597","Staphylococcus hominis CNS175","dalbavancin","","0.125","","0.125","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.608","Staphylococcus hominis CNS238","vancomycin","","2","","2","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.597","Staphylococcus hominis CNS175","tigecycline","","0.25","","0.25","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.603","Staphylococcus hominis CNS201","moxifloxacin","","1","","1","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.595","Staphylococcus hominis CNS173","vancomycin","","2","","2","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.607","Staphylococcus hominis CNS223","erythromycin","","128","","128","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.602","Staphylococcus hominis 1D-364","linezolid","","<=2","<=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1290,"1290.599","Staphylococcus hominis CNS242","moxifloxacin","","1","","1","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.607","Staphylococcus hominis CNS223","trimethoprim/sulfamethoxazole","","0.5","","0.5","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.601","Staphylococcus hominis CNS211","clindamycin","","32","","32","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.594","Staphylococcus hominis CNS171","cefoxitin","","256","","256","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.608","Staphylococcus hominis CNS238","linezolid","",">32",">","32","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.594","Staphylococcus hominis CNS171","teicoplanin","","4","","4","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.604","Staphylococcus hominis CNS186","dalbavancin","","0.125","","0.125","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.608","Staphylococcus hominis CNS238","tigecycline","","0.25","","0.25","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.598","Staphylococcus hominis CNS245","tedizolid","","8","","8","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.607","Staphylococcus hominis CNS223","ceftaroline","","1","","1","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.603","Staphylococcus hominis CNS201","tetracycline","","64","","64","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.599","Staphylococcus hominis CNS242","oxacillin","","512","","512","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
1290,"1290.606","Staphylococcus hominis CNS239","tedizolid","","4","","4","mg/L","Broth dilution","","","Bio-Rad","EUCAST",2020,"","","","Laboratory Method","","[34589061]"
