"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1303,"1303.1204","Streptococcus oralis 1D-407","tigecycline","","0.03","","0.03","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","penicillin","","0.25","","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","moxifloxacin","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","ertapenem","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","clindamycin","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","meropenem","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","tetracycline","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","cefepime","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","azithromycin","","1","","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","erythromycin","","2","","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","amoxicillin/clavulanic acid","","<=2/1","<=","2/1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","levofloxacin","","2","","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","trimethoprim/sulfamethoxazole","","<=0.5/9.5","<=","0.5/9.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","vancomycin","","1","","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","cefotaxime","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","cefuroxime","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","linezolid","","1","","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","ceftriaxone","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","daptomycin","","1","","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1303,"1303.1204","Streptococcus oralis 1D-407","chloramphenicol","","4","","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
