"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1307,"1307.2588","Streptococcus suis strain NSUI089","penicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2587","Streptococcus suis strain NSUI069","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2564","Streptococcus suis strain NSUI047","enrofloxacin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2599","Streptococcus suis strain NSUI100","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2577","Streptococcus suis strain NSUI055","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2606","Streptococcus suis strain NSUI103","ceftiofur","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2560","Streptococcus suis strain NSUI041","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2596","Streptococcus suis strain NSUI092","ceftiofur","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2573","Streptococcus suis strain NSUI060","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2594","Streptococcus suis strain NSUI039","enrofloxacin","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2601","Streptococcus suis strain NSUI037","penicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2603","Streptococcus suis strain NSUI102","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2585","Streptococcus suis strain NSUI070","ceftiofur","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2602","Streptococcus suis strain NSUI035","enrofloxacin","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2560","Streptococcus suis strain NSUI041","enrofloxacin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2571","Streptococcus suis strain NSUI057","tetracycline","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2585","Streptococcus suis strain NSUI070","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2559","Streptococcus suis strain NSUI042","ceftiofur","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2588","Streptococcus suis strain NSUI089","enrofloxacin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2604","Streptococcus suis strain NSUI096","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2564","Streptococcus suis strain NSUI047","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2605","Streptococcus suis strain NSUI099","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2604","Streptococcus suis strain NSUI096","tetracycline","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2600","Streptococcus suis strain NSUI034","enrofloxacin","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2567","Streptococcus suis strain NSUI051","enrofloxacin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2603","Streptococcus suis strain NSUI102","enrofloxacin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2585","Streptococcus suis strain NSUI070","penicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2580","Streptococcus suis strain NSUI033","ceftiofur","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2589","Streptococcus suis strain NSUI078","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2559","Streptococcus suis strain NSUI042","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2594","Streptococcus suis strain NSUI039","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2600","Streptococcus suis strain NSUI034","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2584","Streptococcus suis strain NSUI065","ceftiofur","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2562","Streptococcus suis strain NSUI006","penicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2595","Streptococcus suis strain NSUI072","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2588","Streptococcus suis strain NSUI089","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2580","Streptococcus suis strain NSUI033","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2590","Streptococcus suis strain NSUI082","ceftiofur","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2587","Streptococcus suis strain NSUI069","enrofloxacin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2582","Streptococcus suis strain NSUI052","tetracycline","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2598","Streptococcus suis strain NSUI094","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2558","Streptococcus suis strain NSUI043","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2586","Streptococcus suis strain NSUI066","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2589","Streptococcus suis strain NSUI078","penicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2583","Streptococcus suis strain NSUI068","tetracycline","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2585","Streptococcus suis strain NSUI070","tetracycline","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2599","Streptococcus suis strain NSUI100","penicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2596","Streptococcus suis strain NSUI092","penicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2597","Streptococcus suis strain NSUI038","tetracycline","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2576","Streptococcus suis strain NSUI054","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2565","Streptococcus suis strain NSUI045","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2582","Streptococcus suis strain NSUI052","enrofloxacin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2561","Streptococcus suis strain NSUI044","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2586","Streptococcus suis strain NSUI066","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2576","Streptococcus suis strain NSUI054","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2590","Streptococcus suis strain NSUI082","florfenicol","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2578","Streptococcus suis strain NSUI056","erythromycin","Resistant","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2593","Streptococcus suis strain NSUI077","enrofloxacin","Intermediate","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2578","Streptococcus suis strain NSUI056","enrofloxacin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
1307,"1307.2590","Streptococcus suis strain NSUI082","ampicillin","Susceptible","","","","","Agar dilution","","","","CLSI",2008,"","","","Laboratory Method","","[26954687]"
