"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","ceftriaxone","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","vancomycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","trimethoprim/sulfamethoxazole","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","erythromycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","linezolid","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","cefotaxime","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","tetracycline","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","clindamycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","penicillin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.2534","Streptococcus pyogenes strain AUSMDU00010539","levofloxacin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","","","","","","Laboratory Method","","[33180013]"
1314,"1314.4627","Streptococcus pyogenes 1D-422","meropenem","","1","","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4628","Streptococcus pyogenes 1D-421","ceftriaxone","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4627","Streptococcus pyogenes 1D-422","cefuroxime","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4622","Streptococcus pyogenes 1D-417","tetracycline","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","linezolid","","1","","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4624","Streptococcus pyogenes 1D-418","moxifloxacin","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4629","Streptococcus pyogenes 1D-426","levofloxacin","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4623","Streptococcus pyogenes 1D-416","erythromycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4623","Streptococcus pyogenes 1D-416","clindamycin","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4626","Streptococcus pyogenes 1D-423_B","penicillin","","<=0.03","<=","0.03","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4629","Streptococcus pyogenes 1D-426","azithromycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4622","Streptococcus pyogenes 1D-417","levofloxacin","","1","","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4628","Streptococcus pyogenes 1D-421","tetracycline","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4622","Streptococcus pyogenes 1D-417","erythromycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","cefepime","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","penicillin","","<=0.03","<=","0.03","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","meropenem","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","levofloxacin","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","moxifloxacin","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4622","Streptococcus pyogenes 1D-417","vancomycin","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4623","Streptococcus pyogenes 1D-416","tetracycline","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4622","Streptococcus pyogenes 1D-417","amoxicillin/clavulanic acid","","<=2/1","<=","2/1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4624","Streptococcus pyogenes 1D-418","clindamycin","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4624","Streptococcus pyogenes 1D-418","cefotaxime","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4624","Streptococcus pyogenes 1D-418","levofloxacin","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4622","Streptococcus pyogenes 1D-417","ertapenem","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4628","Streptococcus pyogenes 1D-421","azithromycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4622","Streptococcus pyogenes 1D-417","clindamycin","","0.25","","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4624","Streptococcus pyogenes 1D-418","azithromycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4622","Streptococcus pyogenes 1D-417","tigecycline","","0.03","","0.03","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4629","Streptococcus pyogenes 1D-426","tetracycline","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4624","Streptococcus pyogenes 1D-418","cefuroxime","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","erythromycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","daptomycin","","<=0.06","<=","0.06","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4624","Streptococcus pyogenes 1D-418","ceftriaxone","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","tetracycline","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4624","Streptococcus pyogenes 1D-418","daptomycin","","<=0.06","<=","0.06","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4628","Streptococcus pyogenes 1D-421","erythromycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4625","Streptococcus pyogenes 1D-420","amoxicillin/clavulanic acid","","<=2/1","<=","2/1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4623","Streptococcus pyogenes 1D-416","amoxicillin/clavulanic acid","","<=2/1","<=","2/1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4628","Streptococcus pyogenes 1D-421","penicillin","","<=0.03","<=","0.03","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","clindamycin","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4627","Streptococcus pyogenes 1D-422","tetracycline","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4623","Streptococcus pyogenes 1D-416","ceftriaxone","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","cefuroxime","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
1314,"1314.4621","Streptococcus pyogenes 1D-415","chloramphenicol","","4","","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
