"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
134375,"134375.50","Achromobacter sp. strain 34","colistin","Susceptible","15","=","15","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","levofloxacin","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","piperacillin","Susceptible","21","=","21","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","trimethoprim/sulfamethoxazole","Susceptible","2/38","=","2/38","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","meropenem","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","cefepime","Susceptible","20","=","20","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","tobramycin","Susceptible","21","=","21","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","gentamicin","Intermediate","8","=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","gentamicin","Susceptible","17","=","17","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","amikacin","Intermediate","32","=","32","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","meropenem","Susceptible","0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","piperacillin/tazobactam","Intermediate","64/4","=","64/4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","amikacin","Susceptible","19","=","19","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","tetracycline","Resistant","16",">=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","ceftriaxone","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","ceftazidime","Resistant","32","=","32","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","cefepime","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","aztreonam","Intermediate","17","=","17","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","ciprofloxacin","Resistant","4",">=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","ceftazidime","Susceptible","20","=","20","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","levofloxacin","Intermediate","4","=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","ciprofloxacin","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
134375,"134375.50","Achromobacter sp. strain 34","tobramycin","Intermediate","8","=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
