"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1496,"1496.1477","Clostridioides difficile strain VL_0105","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1411","Clostridioides difficile strain VL_0336","azithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1204","Peptoclostridium difficile strain VL_0075","ceftriaxone","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33979","Clostridioides difficile 2020HQ-00069","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1391","Clostridioides difficile strain VL_0428","clarithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33604","Clostridioides difficile 20150669","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1461","Clostridioides difficile strain VL_0172","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.943","Peptoclostridium difficile strain VL_0265","clarithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.905","Peptoclostridium difficile strain VL_0166","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33742","Clostridioides difficile 20140006","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.899","Peptoclostridium difficile strain VL_0002","ceftriaxone","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33733","Clostridioides difficile 20140112","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1455","Clostridioides difficile strain VL_0198","azithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1079","Peptoclostridium difficile strain VL_0178","clarithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.933","Peptoclostridium difficile strain VL_0311","ceftriaxone","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.960","Peptoclostridium difficile strain VL_0350","moxifloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1118","Peptoclostridium difficile strain VL_0246","ceftriaxone","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1002","Peptoclostridium difficile strain VL_0420","ceftriaxone","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1160","Peptoclostridium difficile strain VL_0134","moxifloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1398","Clostridioides difficile strain VL_0395","moxifloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33631","Clostridioides difficile 20150239","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.2126","Clostridioides difficile strain DH/NAP11/106/ST-42","fidaxomicin","","==0.125","=","0.125","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
1496,"1496.1012","Peptoclostridium difficile strain VL_0053","clarithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33602","Clostridioides difficile 20150687","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.33702","Clostridioides difficile 20140508","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1215","Peptoclostridium difficile strain VL_0374","moxifloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.5550","Clostridioides difficile strain CDI-23","vancomycin","","==0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1496,"1496.5545","Clostridioides difficile strain CDI-20","clindamycin","","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1496,"1496.1447","Clostridioides difficile strain VL_0227","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33605","Clostridioides difficile 20150668","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.33800","Clostridioides difficile 20131272","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.5565","Clostridioides difficile strain CDI-08","moxifloxacin","","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1496,"1496.1040","Peptoclostridium difficile strain VL_0095","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.945","Peptoclostridium difficile strain VL_0291","clarithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1182","Peptoclostridium difficile strain VL_0404","azithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1452","Clostridioides difficile strain VL_0208","ceftriaxone","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1034","Peptoclostridium difficile strain VL_0081","moxifloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1086","Peptoclostridium difficile strain VL_0197","moxifloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1157","Peptoclostridium difficile strain VL_0104","clarithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1200","Peptoclostridium difficile strain VL_0129","clarithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33777","Clostridioides difficile 20131672","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1052","Peptoclostridium difficile strain VL_0123","azithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.5539","Clostridioides difficile strain CDI-19","vancomycin","","==0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1496,"1496.981","Peptoclostridium difficile strain VL_0088","clarithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1181","Peptoclostridium difficile strain VL_0402","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1403","Clostridioides difficile strain VL_0369","clarithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1495","Clostridioides difficile strain VL_0025","clindamycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.956","Peptoclostridium difficile strain VL_0052","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1184","Peptoclostridium difficile strain VL_0405","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1449","Clostridioides difficile strain VL_0219","clindamycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1437","Clostridioides difficile strain VL_0262","clarithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1060","Peptoclostridium difficile strain VL_0158","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1099","Peptoclostridium difficile strain VL_0224","clarithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.911","Peptoclostridium difficile strain VL_0368","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1378","Clostridioides difficile strain VL_0470","azithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.983","Peptoclostridium difficile strain VL_0390","ceftriaxone","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.5553","Clostridioides difficile strain CDI-21","ceftriaxone","","==32","=","32","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1496,"1496.33988","Clostridioides difficile 2020HQ-00065","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1247","Peptoclostridium difficile strain VL_0036","ceftriaxone","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33689","Clostridioides difficile 20140738","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1076","Peptoclostridium difficile strain VL_0033","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1425","Clostridioides difficile strain VL_0292","clarithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1052","Peptoclostridium difficile strain VL_0123","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.5557","Clostridioides difficile strain CDI-10","meropenem","","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1496,"1496.1211","Peptoclostridium difficile strain VL_0249","azithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33532","Clostridioides difficile 20160062","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.33723","Clostridioides difficile 20140246","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.33860","Clostridioides difficile 20170599","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1121","Peptoclostridium difficile strain VL_0252","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33758","Clostridioides difficile 20131997","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1216","Peptoclostridium difficile strain VL_0375","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1207","Peptoclostridium difficile strain VL_0306","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1109","Peptoclostridium difficile strain VL_0151","moxifloxacin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33447","Clostridioides difficile CDI-21","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1023","Peptoclostridium difficile strain VL_0419","azithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.5560","Clostridioides difficile strain CDI-11","ceftriaxone","","==32","=","32","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1496,"1496.1128","Peptoclostridium difficile strain VL_0277","clarithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33919","Clostridioides difficile 20161037","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.33596","Clostridioides difficile 20150722","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1494","Clostridioides difficile strain VL_0008","moxifloxacin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.1068","Peptoclostridium difficile strain VL_0059","azithromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.34005","Clostridioides difficile 2020HQ-00007","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1132","Peptoclostridium difficile strain VL_0305","clarithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
1496,"1496.33636","Clostridioides difficile 20150212","instrument","Intermediate","","","","","Agar dilution","","","","CLSI",2018,"","","","Laboratory Method","","[36208202]"
1496,"1496.1196","Peptoclostridium difficile strain VL_0097","clarithromycin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[27671088]"
