"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1639,"1639.6143","Listeria monocytogenes strain 10","clindamycin","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","chloramphenicol","Susceptible","21","=","21","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","rifampin","Susceptible","23","=","23","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","gentamicin","Susceptible","23","=","23","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6144","Listeria monocytogenes strain M28","ampicillin","Susceptible","0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","oxacillin","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","vancomycin","Susceptible","20","=","20","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","levofloxacin","Susceptible","22","=","22","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","trimethoprim/sulfamethoxazole","Susceptible","21","=","21","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","penicillin","Susceptible","25","=","25","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6144","Listeria monocytogenes strain M28","penicillin","Susceptible","0.25","=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","erythromycin","Susceptible","26","=","26","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
1639,"1639.6143","Listeria monocytogenes strain 10","tetracycline","Susceptible","27","=","27","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
