"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
170573,"170573.15","Staphylococcus pettenkoferi strain 268","tetracycline","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","levofloxacin","Resistant","8",">=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","vancomycin","Susceptible","1","=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","minocycline","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","ciprofloxacin","Resistant","8",">=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","trimethoprim/sulfamethoxazole","Susceptible","1/19","<=","1/19","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","rifampin","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","moxifloxacin","Resistant","2","=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","penicillin","Resistant","0.5",">=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","tigecycline","Susceptible","0.12","<=","0.12","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","daptomycin","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","clindamycin","Susceptible","0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","gentamicin","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","erythromycin","Resistant","8",">=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
170573,"170573.15","Staphylococcus pettenkoferi strain 268","linezolid","Susceptible","2","=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
