"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","enrofloxacin","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","sulfadimethoxine","","<=256","<=","256","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","ampicillin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","ceftiofur","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","penicillin","","==0.25","=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","spectinomycin","","==16","=","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","clindamycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","danofloxacin","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","tylosin","","==4","=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","neomycin","","==8","=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","trimethoprim/sulfamethoxazole","","<=2/38","<=","2/38","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","gentamicin","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","oxytetracycline","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
1718,"1718.49","Corynebacterium glutamicum strain USDA-ARS-USMARC-56828","chlortetracycline","","==4","=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
