"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
195,"195.411","Campylobacter coli strain CVM N8957","azithromycin","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2016,"","","","Laboratory Method","","[26519386]"
195,"195.2214","Campylobacter coli strain FSIS1606645","gentamicin","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.2042","Campylobacter coli strain FSIS1605690","telithromycin","Susceptible","1","=","1","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.401","Campylobacter coli strain CVM N14784","tetracycline","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST","","","","","Laboratory Method","26519386","[26519386]"
195,"195.2221","Campylobacter coli strain FSIS1606666","telithromycin","Susceptible","2","=","2","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.2212","Campylobacter coli strain FSIS1606646","erythromycin","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
195,"195.2122","Campylobacter coli strain FSIS1606093","gentamicin","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.2099","Campylobacter coli strain FSIS1605942","tetracycline","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
195,"195.2143","Campylobacter coli strain FSIS1606168","ciprofloxacin","Susceptible","0.03","=","0.03","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
195,"195.2404","Campylobacter coli strain 43371","gentamicin","Resistant",">256",">","256","mg/L","Disk diffusion","","E-test","BioMerieux","EUCAST","","","","","Laboratory Method","","[31665255]"
195,"195.2169","Campylobacter coli strain FSIS1606374","nalidixic acid","Resistant","64",">","64","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.2212","Campylobacter coli strain FSIS1606646","clindamycin","Susceptible","0.25","=","0.25","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.2138","Campylobacter coli strain FSIS1606153","tetracycline","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
195,"195.414","Campylobacter coli strain CVM N1636","tetracycline","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2016,"","","","Laboratory Method","","[26519386]"
195,"195.2196","Campylobacter coli strain FSIS1606559","florfenicol","Susceptible","2","=","2","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.2168","Campylobacter coli strain FSIS1606371","telithromycin","Susceptible","1","=","1","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.393","Campylobacter coli strain CVM N46573F","nalidixic acid","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2016,"","","","Laboratory Method","","[26519386]"
195,"195.387","Campylobacter coli strain CVM N49244","tetracycline","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2016,"","","","Laboratory Method","","[26519386]"
195,"195.414","Campylobacter coli strain CVM N1636","tetracycline","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST","","","","","Laboratory Method","26519386","[26519386]"
195,"195.2172","Campylobacter coli strain FSIS1606377","azithromycin","Susceptible","0.12","=","0.12","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.422","Campylobacter coli strain CVM N18323","telithromycin","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2016,"","","","Laboratory Method","","[26519386]"
195,"195.2127","Campylobacter coli strain FSIS1606103","telithromycin","Susceptible","1","=","1","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.2311","Campylobacter coli strain FSIS1607211","clindamycin","Susceptible","0.25","=","0.25","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
195,"195.410","Campylobacter coli strain CVM N7464","tetracycline","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST","","","","","Laboratory Method","26519386","[26519386]"
195,"195.2248","Campylobacter coli strain FSIS1606797","ciprofloxacin","Resistant","8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
195,"195.2067","Campylobacter coli strain FSIS1605800","erythromycin","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
195,"195.403","Campylobacter coli strain CVM N3506","telithromycin","Resistant","","","","","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2016,"","","","Laboratory Method","","[26519386]"
195,"195.2024","Campylobacter coli strain FSIS1605590","gentamicin","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","","","NARMS","","","","","Laboratory Method","",""
