"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
208224,"208224.55","Enterobacter kobei strain MUGSI_221","polymyxin B","","1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.56","Enterobacter kobei strain MUGSI_253","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.56","Enterobacter kobei strain MUGSI_253","amoxicillin/clavulanic acid","Resistant","32/16",">=","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.56","Enterobacter kobei strain MUGSI_253","trimethoprim/sulfamethoxazole","Susceptible","0.5/9.5","<","0.5/9.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.56","Enterobacter kobei strain MUGSI_253","piperacillin/tazobactam","Intermediate","32/4","=","32/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.56","Enterobacter kobei strain MUGSI_253","polymyxin B","","8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.55","Enterobacter kobei strain MUGSI_221","gentamicin","Susceptible","0.25","<","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.56","Enterobacter kobei strain MUGSI_253","cefoxitin","Resistant","32",">=","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.55","Enterobacter kobei strain MUGSI_221","levofloxacin","Susceptible","2","<=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.55","Enterobacter kobei strain MUGSI_221","amikacin","Susceptible","1","<","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.55","Enterobacter kobei strain MUGSI_221","cefepime","Susceptible","4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.55","Enterobacter kobei strain MUGSI_221","ertapenem","Intermediate","1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.55","Enterobacter kobei strain MUGSI_221","tigecycline","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
208224,"208224.55","Enterobacter kobei strain MUGSI_221","cefotaxime/clavulanic acid","","32/4","=","32/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
