"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
210,"210.6043","Helicobacter pylori strain KH0110","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6013","Helicobacter pylori strain KH0033","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6004","Helicobacter pylori strain KH0149","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6039","Helicobacter pylori strain KH0158","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6042","Helicobacter pylori strain KH0172","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6027","Helicobacter pylori strain KH0127","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6017","Helicobacter pylori strain KH0070","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6025","Helicobacter pylori strain KH0153","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6010","Helicobacter pylori strain KH0129","clarithromycin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6012","Helicobacter pylori strain KH0141","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6043","Helicobacter pylori strain KH0110","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5997","Helicobacter pylori strain KH0198","clarithromycin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6001","Helicobacter pylori strain KH0210","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6028","Helicobacter pylori strain KH0031","levofloxacin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6040","Helicobacter pylori strain KH0025","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6028","Helicobacter pylori strain KH0031","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5998","Helicobacter pylori strain KH0165","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6036","Helicobacter pylori strain KH0042","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6040","Helicobacter pylori strain KH0025","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6015","Helicobacter pylori strain KH0040","clarithromycin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6037","Helicobacter pylori strain KH0156","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6034","Helicobacter pylori strain KH0016","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6035","Helicobacter pylori strain KH0075","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6014","Helicobacter pylori strain KH0054","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6018","Helicobacter pylori strain KH0126","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6044","Helicobacter pylori strain KH0120","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6019","Helicobacter pylori strain KH0022","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6029","Helicobacter pylori strain KH0072","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6027","Helicobacter pylori strain KH0127","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6030","Helicobacter pylori strain KH0095","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6002","Helicobacter pylori strain KH0159","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6004","Helicobacter pylori strain KH0149","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5995","Helicobacter pylori strain KH0173","levofloxacin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6023","Helicobacter pylori strain KH0065","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6005","Helicobacter pylori strain KH0066","amoxicillin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6033","Helicobacter pylori strain KH0012","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6013","Helicobacter pylori strain KH0033","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6041","Helicobacter pylori strain KH0122","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6001","Helicobacter pylori strain KH0210","levofloxacin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6026","Helicobacter pylori strain KH0119","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5998","Helicobacter pylori strain KH0165","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6036","Helicobacter pylori strain KH0042","amoxicillin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6006","Helicobacter pylori strain KH0032","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6033","Helicobacter pylori strain KH0012","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6020","Helicobacter pylori strain KH0071","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6011","Helicobacter pylori strain KH0161","levofloxacin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6024","Helicobacter pylori strain KH0125","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5993","Helicobacter pylori strain KH0182","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6034","Helicobacter pylori strain KH0016","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6011","Helicobacter pylori strain KH0161","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6022","Helicobacter pylori strain KH0092","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6023","Helicobacter pylori strain KH0065","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6001","Helicobacter pylori strain KH0210","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6006","Helicobacter pylori strain KH0032","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5996","Helicobacter pylori strain KH0191","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5992","Helicobacter pylori strain KH0207","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6010","Helicobacter pylori strain KH0129","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5999","Helicobacter pylori strain KH0167","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6017","Helicobacter pylori strain KH0070","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6006","Helicobacter pylori strain KH0032","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6033","Helicobacter pylori strain KH0012","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6008","Helicobacter pylori strain KH0097","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6004","Helicobacter pylori strain KH0149","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5994","Helicobacter pylori strain KH0175","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5998","Helicobacter pylori strain KH0165","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6000","Helicobacter pylori strain KH0176","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6041","Helicobacter pylori strain KH0122","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6021","Helicobacter pylori strain KH0106","clarithromycin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6005","Helicobacter pylori strain KH0066","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5993","Helicobacter pylori strain KH0182","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6044","Helicobacter pylori strain KH0120","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6026","Helicobacter pylori strain KH0119","metronidazole","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6012","Helicobacter pylori strain KH0141","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6017","Helicobacter pylori strain KH0070","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6029","Helicobacter pylori strain KH0072","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6028","Helicobacter pylori strain KH0031","clarithromycin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6001","Helicobacter pylori strain KH0210","clarithromycin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6018","Helicobacter pylori strain KH0126","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6035","Helicobacter pylori strain KH0075","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6032","Helicobacter pylori strain KH0045","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6031","Helicobacter pylori strain KH0113","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6029","Helicobacter pylori strain KH0072","levofloxacin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6015","Helicobacter pylori strain KH0040","levofloxacin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6016","Helicobacter pylori strain KH0143","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6010","Helicobacter pylori strain KH0129","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6002","Helicobacter pylori strain KH0159","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5995","Helicobacter pylori strain KH0173","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6008","Helicobacter pylori strain KH0097","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5996","Helicobacter pylori strain KH0191","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6017","Helicobacter pylori strain KH0070","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6000","Helicobacter pylori strain KH0176","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6024","Helicobacter pylori strain KH0125","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6030","Helicobacter pylori strain KH0095","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6035","Helicobacter pylori strain KH0075","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5992","Helicobacter pylori strain KH0207","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6026","Helicobacter pylori strain KH0119","amoxicillin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6009","Helicobacter pylori strain KH0086","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6021","Helicobacter pylori strain KH0106","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6034","Helicobacter pylori strain KH0016","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6043","Helicobacter pylori strain KH0110","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6035","Helicobacter pylori strain KH0075","levofloxacin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6020","Helicobacter pylori strain KH0071","metronidazole","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6007","Helicobacter pylori strain KH0148","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6018","Helicobacter pylori strain KH0126","levofloxacin","Resistant","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6020","Helicobacter pylori strain KH0071","levofloxacin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6013","Helicobacter pylori strain KH0033","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.5993","Helicobacter pylori strain KH0182","tetracycline","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
210,"210.6003","Helicobacter pylori strain KH0178","clarithromycin","Susceptible","","","","","Agar dilution","","","","EUCAST","","","","","Laboratory Method","","[31208076]"
