"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
244366,"244366.904","Klebsiella variicola 2485STDY5438395","fluoroquinolones","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
244366,"244366.1387","Klebsiella variicola ERR7221173","cefoxitin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1383","Klebsiella variicola ERR1840988","tobramycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1385","Klebsiella variicola ERR2109181","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1386","Klebsiella variicola ERR7221170","tobramycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.903","Klebsiella variicola 2485STDY5477939","trimotheprim","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
244366,"244366.1385","Klebsiella variicola ERR2109181","tigecycline","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1387","Klebsiella variicola ERR7221173","gentamicin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.45","Klebsiella variicola strain AR_0016","amikacin","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
244366,"244366.270","Klebsiella variicola strain EuSCAPE_IT309","colistin","Susceptible","","","","","Broth dilution","","","","CLSI",2015,"","","","Laboratory Method","","[31358985]"
244366,"244366.1388","Klebsiella variicola ERR7221199","amoxicillin/clavulanic acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1383","Klebsiella variicola ERR1840988","gentamicin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.900","Klebsiella variicola 2485STDY5438211","trimotheprim","Resistant","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
244366,"244366.45","Klebsiella variicola strain AR_0016","cefotaxime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
244366,"244366.344","Klebsiella variicola strain 179","nitrofurantoin","Susceptible","16","<=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
244366,"244366.1389","Klebsiella variicola ERR7221363","cefpodoxime_clavulanic_acid","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.45","Klebsiella variicola strain AR_0016","cefepime","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
244366,"244366.1387","Klebsiella variicola ERR7221173","tobramycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1388","Klebsiella variicola ERR7221199","cefpodoxime","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.45","Klebsiella variicola strain AR_0016","cefazolin","Susceptible","==2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
244366,"244366.1387","Klebsiella variicola ERR7221173","meropenem","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.45","Klebsiella variicola strain AR_0016","aztreonam","Intermediate","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
244366,"244366.1384","Klebsiella variicola ERR2109158","tobramycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1384","Klebsiella variicola ERR2109158","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.344","Klebsiella variicola strain 179","gentamicin","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
244366,"244366.1383","Klebsiella variicola ERR1840988","cefoxitin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1385","Klebsiella variicola ERR2109181","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.344","Klebsiella variicola strain 179","ceftriaxone","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
244366,"244366.1384","Klebsiella variicola ERR2109158","cefoxitin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1384","Klebsiella variicola ERR2109158","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.1386","Klebsiella variicola ERR7221170","ertapenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
244366,"244366.903","Klebsiella variicola 2485STDY5477939","aminogycosides","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
244366,"244366.1386","Klebsiella variicola ERR7221170","cefoxitin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
