"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
28116,"28116.2488","Bacteroides ovatus BJH_28","ertapenem","","1","","1","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2494","Bacteroides ovatus BJH_46","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2500","Bacteroides ovatus BJH_9","ertapenem","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2499","Bacteroides ovatus BJH_86","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2491","Bacteroides ovatus BJH_18","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2496","Bacteroides ovatus BJH_47","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2498","Bacteroides ovatus BJH_74","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2492","Bacteroides ovatus BJH_175","piperacillin/tazobactam","","4","","4","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2490","Bacteroides ovatus BJH_39","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2481","Bacteroides ovatus BJH_205","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2493","Bacteroides ovatus BJH_170","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
28116,"28116.2488","Bacteroides ovatus BJH_28","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
