"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
28141,"28141.1040","Cronobacter sakazakii strain USDA-ARS-USMARC-54664 strain not applicable","chloramphenicol","Resistant",">=32",">=","32","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1044","Cronobacter sakazakii USDA-ARS-USMARC-54664","sulfisoxazole","Susceptible","==128","=","128","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1040","Cronobacter sakazakii strain USDA-ARS-USMARC-54664 strain not applicable","cefoxitin","Resistant",">=32",">=","32","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1040","Cronobacter sakazakii strain USDA-ARS-USMARC-54664 strain not applicable","trimethoprim/sulfamethoxazole","Susceptible","==0.25/4.75","=","0.25/4.75","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1044","Cronobacter sakazakii USDA-ARS-USMARC-54664","streptomycin","Susceptible","==16","=","16","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1044","Cronobacter sakazakii USDA-ARS-USMARC-54664","ampicillin","Resistant",">=32",">=","32","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1044","Cronobacter sakazakii USDA-ARS-USMARC-54664","gentamicin","Susceptible","<=0.25","<=","0.25","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1040","Cronobacter sakazakii strain USDA-ARS-USMARC-54664 strain not applicable","ceftriaxone","Susceptible","<=0.24","<=","0.24","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1044","Cronobacter sakazakii USDA-ARS-USMARC-54664","azithromycin","Resistant",">=16",">=","16","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28141,"28141.1044","Cronobacter sakazakii USDA-ARS-USMARC-54664","amoxicillin/clavulanic acid","Resistant",">=32/16",">=","32/16","mg/L","MIC","CMV3AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
