"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","tobramycin","Susceptible","<=1","<=","1","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","cefdinir","Intermediate","==2","=","2","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","colistin","Susceptible","<=2","<=","2","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","ciprofloxacin","Susceptible","<=1","<=","1","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","cefazolin","Intermediate","==4","=","4","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","ceftriaxone","Susceptible","<=1","<=","1","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","fosfomycin","Susceptible","<=64","<=","64","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","ampicillin","Intermediate","==16","=","16","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","ceftazidime","Susceptible","<=4","<=","4","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","gentamicin","Susceptible","<=1","<=","1","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","piperacillin/tazobactam","Susceptible","<=16/4","<=","16/4","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","trimethoprim/sulfamethoxazole","Susceptible","<=0.5/9.5","<=","0.5/9.5","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","meropenem","Susceptible","<=1","<=","1","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","cefepime","Susceptible","<=1","<=","1","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","ampicillin/sulbactam","Susceptible","<=8/4","<=","8/4","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","ertapenem","Susceptible","<=0.25","<=","0.25","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","ticarcillin/clavulanic acid","Susceptible","<=16/2","<=","16/2","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","levofloxacin","Susceptible","<=1","<=","1","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","nitrofurantoin","Susceptible","<=32","<=","32","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
28152,"28152.31","Yersinia kristensenii strain ATCC BAA-2637","amikacin","Susceptible","<=8","<=","8","mg/L","","","","","CLSI","","","","","Laboratory Method","",""
