"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","sulfisoxazole","","<=16","<=","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","sulfisoxazole","","<=16","<=","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","azithromycin","Susceptible","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","NARMS","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","streptomycin","Resistant","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","ciprofloxacin","Susceptible","==0.015","==","0.015","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","ceftriaxone","Susceptible","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","trimethoprim/sulfamethoxazole","Susceptible","<=0.12/2.28","<=","0.12/2.28","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","tetracycline","Susceptible","<=4","<=","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","cefoxitin","Susceptible","==8","==","8","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","ciprofloxacin","Susceptible","==0.03","==","0.03","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","sulfisoxazole","Susceptible","<=16","<=","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","streptomycin","Resistant","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","gentamicin","Susceptible","==4","==","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","gentamicin","Susceptible","==4","==","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","sulfisoxazole","Susceptible","<=16","<=","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","cefoxitin","Susceptible","==8","==","8","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","ceftriaxone","Susceptible","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","amoxicillin/clavulanic acid","Susceptible","<=1/0.5","<=","1/0.5","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","trimethoprim/sulfamethoxazole","Susceptible","<=0.12/2.4","<=","0.12/2.4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","trimethoprim/sulfamethoxazole","Susceptible","==0.25/4.75","==","0.25/4.75","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","amoxicillin/clavulanic acid","Susceptible","==2/1","==","2/1","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","ciprofloxacin","Susceptible","==0.03","==","0.03","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","ampicillin","Resistant",">32",">","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","ampicillin","Resistant",">32",">","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","azithromycin","Susceptible","==0.5","==","0.5","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","NARMS","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","gentamicin","Susceptible","==2","==","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","nalidixic acid","Susceptible","<=0.5","<=","0.5","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","ciprofloxacin","Susceptible","==0.03","==","0.03","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","meropenem","Susceptible","<=0.06","<=","0.06","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","meropenem","Susceptible","<=0.06","<=","0.06","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","tetracycline","Susceptible","<=4","<=","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","meropenem","Susceptible","<=0.06","<=","0.06","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","amoxicillin/clavulanic acid","Susceptible","<=1/0.5","<=","1/0.5","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","amoxicillin/clavulanic acid","Susceptible","<=1/0.5","<=","1/0.5","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.129","Vibrio metschnikovii 19CA03SA01","ampicillin","Susceptible","<=1","<=","1","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","meropenem","Susceptible","<=0.06","<=","0.06","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","cefoxitin","Susceptible","==8","==","8","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","nalidixic acid","Susceptible","<=0.5","<=","0.5","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","cefoxitin","Susceptible","==16","==","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.128","Vibrio metschnikovii 19KS04SH03","ampicillin","Resistant",">32",">","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.138","Vibrio metschnikovii 20CO01TI02","tetracycline","Susceptible","<=4","<=","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","gentamicin","Susceptible","==2","==","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
28172,"28172.127","Vibrio metschnikovii 20PA01TI03","trimethoprim/sulfamethoxazole","Susceptible","<=0.12/2.28","<=","0.12/2.28","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
