"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
28197,"28197.187","Arcobacter butzleri strain Ab_1426_2003","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.187","Arcobacter butzleri strain Ab_1426_2003","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.193","Arcobacter butzleri strain Ab_CR604","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.152","Arcobacter butzleri strain Ab_DQ40A1","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.196","Arcobacter butzleri strain Ab_DQ20dA1","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.192","Arcobacter butzleri strain Ab_CR424","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.204","Arcobacter butzleri strain Ab_DQ31A1","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.152","Arcobacter butzleri strain Ab_DQ40A1","ciprofloxacin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.148","Arcobacter butzleri strain Ab_CR1143","ciprofloxacin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.150","Arcobacter butzleri strain Ab_CR892","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.202","Arcobacter butzleri strain Ab_CR461","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.185","Arcobacter butzleri strain Ab_1711","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.186","Arcobacter butzleri strain Ab_2211","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.202","Arcobacter butzleri strain Ab_CR461","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.148","Arcobacter butzleri strain Ab_CR1143","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.185","Arcobacter butzleri strain Ab_1711","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.149","Arcobacter butzleri strain Ab_CR891","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.185","Arcobacter butzleri strain Ab_1711","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.185","Arcobacter butzleri strain Ab_1711","ampicillin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.189","Arcobacter butzleri strain Ab_4211","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.154","Arcobacter butzleri strain Ab_3711","ciprofloxacin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.190","Arcobacter butzleri strain Ab_4511","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.154","Arcobacter butzleri strain Ab_3711","ampicillin","Intermediate","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.204","Arcobacter butzleri strain Ab_DQ31A1","ciprofloxacin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.192","Arcobacter butzleri strain Ab_CR424","ampicillin","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.141","Arcobacter butzleri strain Ab_2811","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.149","Arcobacter butzleri strain Ab_CR891","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.187","Arcobacter butzleri strain Ab_1426_2003","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.189","Arcobacter butzleri strain Ab_4211","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.156","Arcobacter butzleri strain Ab_DQ64A1","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.143","Arcobacter butzleri strain Ab_A103","ciprofloxacin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.187","Arcobacter butzleri strain Ab_1426_2003","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.143","Arcobacter butzleri strain Ab_A103","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.140","Arcobacter butzleri strain Ab_CR502","ciprofloxacin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.192","Arcobacter butzleri strain Ab_CR424","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.186","Arcobacter butzleri strain Ab_2211","ampicillin","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.188","Arcobacter butzleri strain Ab_CR1132","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.156","Arcobacter butzleri strain Ab_DQ64A1","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.190","Arcobacter butzleri strain Ab_4511","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.204","Arcobacter butzleri strain Ab_DQ31A1","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.156","Arcobacter butzleri strain Ab_DQ64A1","cefotaxime","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.152","Arcobacter butzleri strain Ab_DQ40A1","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.190","Arcobacter butzleri strain Ab_4511","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.195","Arcobacter butzleri strain Ab_CR641","ampicillin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.189","Arcobacter butzleri strain Ab_4211","levofloxacin","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.202","Arcobacter butzleri strain Ab_CR461","ampicillin","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.156","Arcobacter butzleri strain Ab_DQ64A1","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.202","Arcobacter butzleri strain Ab_CR461","ciprofloxacin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.154","Arcobacter butzleri strain Ab_3711","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.149","Arcobacter butzleri strain Ab_CR891","ampicillin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.192","Arcobacter butzleri strain Ab_CR424","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.140","Arcobacter butzleri strain Ab_CR502","erythromycin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.196","Arcobacter butzleri strain Ab_DQ20dA1","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.195","Arcobacter butzleri strain Ab_CR641","erythromycin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.141","Arcobacter butzleri strain Ab_2811","erythromycin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.190","Arcobacter butzleri strain Ab_4511","ciprofloxacin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.195","Arcobacter butzleri strain Ab_CR641","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.143","Arcobacter butzleri strain Ab_A103","cefotaxime","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.141","Arcobacter butzleri strain Ab_2811","ciprofloxacin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.188","Arcobacter butzleri strain Ab_CR1132","ampicillin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.190","Arcobacter butzleri strain Ab_4511","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.149","Arcobacter butzleri strain Ab_CR891","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.141","Arcobacter butzleri strain Ab_2811","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.192","Arcobacter butzleri strain Ab_CR424","erythromycin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.152","Arcobacter butzleri strain Ab_DQ40A1","nalidixic acid","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.206","Arcobacter butzleri strain Ab_A111","erythromycin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.149","Arcobacter butzleri strain Ab_CR891","ciprofloxacin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.193","Arcobacter butzleri strain Ab_CR604","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.186","Arcobacter butzleri strain Ab_2211","levofloxacin","Susceptible","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.195","Arcobacter butzleri strain Ab_CR641","ciprofloxacin","Susceptible","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
28197,"28197.140","Arcobacter butzleri strain Ab_CR502","levofloxacin","Resistant","","","","","Agar dilution","","","","clsi",2016,"","","","Laboratory Method","","[32006709]"
28197,"28197.189","Arcobacter butzleri strain Ab_4211","ciprofloxacin","Resistant","","","","","","","","","",2018,"","","","Laboratory Method","","[32006709]"
