"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","sulfamethoxazole","Susceptible","==256","=","256","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","trimethoprim","Susceptible","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","carbenicillin","","==128","=","128","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","piperacillin","Susceptible","<=8","<=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","tigecycline","","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","ceftazidime","Susceptible","<=4","<=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","imipenem","Susceptible","<=1","<=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","doxycycline","Susceptible","<=1","<=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","piperacillin/tazobactam","Susceptible","<=8/4","<=","8/4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","ceftazidime/avibactam","Susceptible","==1/4","=","1/4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","eravacycline","","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","doripenem","Susceptible","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","meropenem","Susceptible","<=1","<=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","kanamycin","Susceptible","==16","=","16","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","trimethoprim/sulfamethoxazole","Susceptible","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","gentamicin","Resistant","==64","=","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","amoxicillin/clavulanic acid","Susceptible","<=4/2","<=","4/2","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","chloramphenicol","Susceptible","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","amoxicillin","Intermediate","==64","=","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","azithromycin","Resistant",">64",">","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","polymyxin B","",">1024",">","1024","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
28450,"28450.2441","Burkholderia pseudomallei Mayo_G014009607","ciprofloxacin","Susceptible","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
