"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
292,"292.632","Burkholderia cepacia B35","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.636","Burkholderia cepacia B12","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.646","Burkholderia cepacia B37","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.622","Burkholderia cepacia B24","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.640","Burkholderia cepacia B20","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.637","Burkholderia cepacia B10","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.631","Burkholderia cepacia B40","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.642","Burkholderia cepacia B39","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.666","Burkholderia cepacia B61","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.635","Burkholderia cepacia B21","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.625","Burkholderia cepacia B42","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.623","Burkholderia cepacia B47","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.659","Burkholderia cepacia B2","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.639","Burkholderia cepacia B31","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.631","Burkholderia cepacia B40","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.669","Burkholderia cepacia B57","chloramphenicol","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.649","Burkholderia cepacia B55","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.626","Burkholderia cepacia B19","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.626","Burkholderia cepacia B19","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.640","Burkholderia cepacia B20","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.623","Burkholderia cepacia B47","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.654","Burkholderia cepacia B8","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.638","Burkholderia cepacia B11","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.626","Burkholderia cepacia B19","chloramphenicol","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.634","Burkholderia cepacia B1","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.620","Burkholderia cepacia B34","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.663","Burkholderia cepacia B16","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.635","Burkholderia cepacia B21","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.656","Burkholderia cepacia B5","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.620","Burkholderia cepacia B34","chloramphenicol","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.665","Burkholderia cepacia B25","ciprofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.633","Burkholderia cepacia B45","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.654","Burkholderia cepacia B8","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.628","Burkholderia cepacia B46","ciprofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.648","Burkholderia cepacia B28","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.626","Burkholderia cepacia B19","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.653","Burkholderia cepacia B6","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.664","Burkholderia cepacia B50","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
292,"292.628","Burkholderia cepacia B46","cefoxitin","Susceptible","","","","","Disk diffusion","","","","CLSI",2016,"","","","Laboratory Method","","[35544262]"
