"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
29385,"29385.245","Staphylococcus saprophyticus strain 129","tetracycline","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","penicillin","Resistant","0.5",">=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","erythromycin","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","gentamicin","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","clindamycin","Susceptible","0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","nitrofurantoin","Susceptible","16","<=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","trimethoprim/sulfamethoxazole","Susceptible","0.5/9.5","<=","0.5/9.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","linezolid","Susceptible","4","=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","tigecycline","Susceptible","0.12","<=","0.12","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","ciprofloxacin","Intermediate","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","quinupristin/dalfopristin","Susceptible","0.5/1.17","=","0.5/1.17","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","levofloxacin","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","vancomycin","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","minocycline","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","rifampin","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","moxifloxacin","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.245","Staphylococcus saprophyticus strain 129","oxacillin","Resistant","2","=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
29385,"29385.538","Staphylococcus saprophyticus 1D-365","moxifloxacin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
29385,"29385.538","Staphylococcus saprophyticus 1D-365","trimethoprim/sulfamethoxazole","","<=1/19","<=","1/19","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
29385,"29385.538","Staphylococcus saprophyticus 1D-365","rifampin","","<=0.03","<=","0.03","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
29385,"29385.538","Staphylococcus saprophyticus 1D-365","tobramycin","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
29385,"29385.538","Staphylococcus saprophyticus 1D-365","mupirocin","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","EUCAST",2017,"","","","Laboratory Method","","[35756053]"
