"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
299766,"299766.54","Enterobacter hormaechei subsp. steigerwaltii","ertapenem","Resistant","","=","6","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
299766,"299766.9","Enterobacter hormaechei subsp. steigerwaltii strain SMART_448","ertapenem","Resistant","","=","6","mg/L","Disk diffusion","","E-test","","","","","","","Laboratory Method","",""
299766,"299766.4","Enterobacter hormaechei subsp. steigerwaltii strain SMART_267","ertapenem","Resistant","","=","4","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.6","Enterobacter hormaechei subsp. steigerwaltii strain SMART_291","ertapenem","Resistant","","","4","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.15","Enterobacter hormaechei subsp. steigerwaltii strain SMART_610","ertapenem","Resistant","","=","2","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.5","Enterobacter hormaechei subsp. steigerwaltii strain SMART_268","ertapenem","Resistant","","","4","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.20","Enterobacter hormaechei subsp. steigerwaltii strain SMART_1009","ertapenem","Resistant","","=","4","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.12","Enterobacter hormaechei subsp. steigerwaltii strain SMART_557","ertapenem","Intermediate","","=","1.5","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.19","Enterobacter hormaechei subsp. steigerwaltii strain SMART_935","ertapenem","Resistant","","=","4","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.14","Enterobacter hormaechei subsp. steigerwaltii strain SMART_601","ertapenem","Resistant","","","32","mg/L","Disk diffusion","","E-test","","","","","","","Laboratory Method","",""
299766,"299766.3","Enterobacter hormaechei subsp. steigerwaltii strain SMART_1141","ertapenem","Intermediate","","=","1","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.22","Enterobacter hormaechei subsp. steigerwaltii strain SMART_1139","ertapenem","Resistant","","","4","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.23","Enterobacter hormaechei subsp. steigerwaltii strain SMART_1118","ertapenem","Resistant","","","4","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.18","Enterobacter hormaechei subsp. steigerwaltii strain SMART_857","ertapenem","Resistant","","","4","mg/L","Broth dilution","","MicroScan","Siemens","","","","","","Laboratory Method","",""
299766,"299766.13","Enterobacter hormaechei subsp. steigerwaltii strain SMART_599","ertapenem","Resistant","","","32","mg/L","Disk diffusion","","E-test","","","","","","","Laboratory Method","",""
