"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","cefotaxime","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","cefoxitin","Resistant","32",">=","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","polymyxin B","","0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","gentamicin","Susceptible","0.25","<","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","polymyxin B","","1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","doripenem","Susceptible","0.25","<","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","ciprofloxacin","Susceptible","0.25","<","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","ertapenem","Intermediate","1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","trimethoprim/sulfamethoxazole","Susceptible","0.25/4.75","<","0.25/4.75","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","cefotaxime/clavulanic acid","","32/4","=","32/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","aztreonam","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","tetracycline","Susceptible","4","<=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","cefotaxime/clavulanic acid","","32/4","=","32/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","amikacin","Susceptible","1","<","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","meropenem","Susceptible","0.12","<","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","cefoxitin","Resistant","32",">=","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","ceftazidime","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","ceftriaxone","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","doripenem","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","colistin","","0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","trimethoprim/sulfamethoxazole","Susceptible","0.25/4.75","<","0.25/4.75","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","imipenem","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","tobramycin","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","imipenem","Susceptible","1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","amoxicillin/clavulanic acid","Resistant","32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","cefotaxime","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","ceftriaxone","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","aztreonam","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","amoxicillin/clavulanic acid","Resistant","32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","tobramycin","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","ampicillin","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","levofloxacin","Susceptible","0.12","<","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","ciprofloxacin","Susceptible","0.25","<","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","tigecycline","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.74","Enterobacter ludwigii strain MUGSI_18","colistin","","0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
299767,"299767.75","Enterobacter ludwigii strain MUGSI_223","ampicillin","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
