"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","tulathromycin","",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","gentamicin","",">16",">","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","neomycin","","==32","=","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","trimethoprim/sulfamethoxazole","","<=2/38","<=","2/38","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","spectinomycin","",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","tylosin","",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","danofloxacin","","==1","=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","ampicillin","","==16","=","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","chlortetracycline","","==8","=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","florfenicol","","==8","=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","tiamulin","",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","tilmicosin","",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","clindamycin","",">16",">","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","oxytetracycline","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","sulfadimethoxine","","<=256","<=","256","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","penicillin","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","enrofloxacin","","==1","=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
32002,"32002.4","Achromobacter denitrificans strain USDA-ARS-USMARC-56712","ceftiofur","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
