"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
33010,"33010.131","Cutibacterium avidum FMS4815","moxifloxacin","Susceptible","==0.75","=","0.75","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.130","Cutibacterium avidum FMS2275","clindamycin","Susceptible","<0.016","<","0.016","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.130","Cutibacterium avidum FMS2275","rifampin","Susceptible","==0.002","=","0.002","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.131","Cutibacterium avidum FMS4815","rifampin","Resistant",">32",">","32","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.130","Cutibacterium avidum FMS2275","amoxicillin","Susceptible","==0.094","=","0.094","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.131","Cutibacterium avidum FMS4815","clindamycin","Susceptible","<0.016","<","0.016","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.130","Cutibacterium avidum FMS2275","moxifloxacin","Susceptible","==0.064","=","0.064","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.131","Cutibacterium avidum FMS4815","amoxicillin","Susceptible","==0.094","=","0.094","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.131","Cutibacterium avidum FMS4815","levofloxacin","Resistant",">32",">","32","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
33010,"33010.130","Cutibacterium avidum FMS2275","levofloxacin","Susceptible","==0.064","=","0.064","mg/L","MIC","E-Test","","BioMerieux","SFM","","","","","","",""
