"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
357276,"357276.1858","Phocaeicola dorei BJH_177","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1853","Phocaeicola dorei BJH_10","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1860","Phocaeicola dorei BJH_8","metronidazole","","0.032","","0.032","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1856","Phocaeicola dorei BJH_65","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1853","Phocaeicola dorei BJH_10","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1859","Phocaeicola dorei BJH_62","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1857","Phocaeicola dorei BJH_58","meropenem","","2","","2","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1858","Phocaeicola dorei BJH_177","meropenem","","4","","4","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1857","Phocaeicola dorei BJH_58","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1853","Phocaeicola dorei BJH_10","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1855","Phocaeicola dorei BJH_81","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1860","Phocaeicola dorei BJH_8","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1854","Phocaeicola dorei BJH_161","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1855","Phocaeicola dorei BJH_81","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1854","Phocaeicola dorei BJH_161","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1859","Phocaeicola dorei BJH_62","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1856","Phocaeicola dorei BJH_65","ertapenem","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1858","Phocaeicola dorei BJH_177","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1855","Phocaeicola dorei BJH_81","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1860","Phocaeicola dorei BJH_8","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1858","Phocaeicola dorei BJH_177","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1860","Phocaeicola dorei BJH_8","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1857","Phocaeicola dorei BJH_58","piperacillin/tazobactam","","256","","256","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1854","Phocaeicola dorei BJH_161","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1856","Phocaeicola dorei BJH_65","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1855","Phocaeicola dorei BJH_81","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1856","Phocaeicola dorei BJH_65","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1854","Phocaeicola dorei BJH_161","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1859","Phocaeicola dorei BJH_62","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1853","Phocaeicola dorei BJH_10","ertapenem","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1859","Phocaeicola dorei BJH_62","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
357276,"357276.1857","Phocaeicola dorei BJH_58","ertapenem","","2","","2","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
