"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
36809,"36809.1144","Mycobacteroides abscessus NTM0295","doxycycline","Resistant",">16",">","16","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","amikacin","Susceptible","==8","=","8","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","clarithromycin","Resistant",">16",">","16","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","linezolid","Susceptible","<=1","<=","1","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","minocycline","",">8",">","8","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","cefepime","","==32","=","32","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","ceftriaxone","",">64",">","64","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","ciprofloxacin","Resistant",">4",">","4","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","imipenem","","==16","=","16","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","tobramycin","Intermediate","==4","=","4","mg/L","MIC","","","","","","","","","","",""
36809,"36809.1144","Mycobacteroides abscessus NTM0295","tigecycline","","==0.12","=","0.12","mg/L","MIC","","","","","","","","","","",""
