"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
40216,"40216.263","Acinetobacter radioresistens E695547","amikacin","Susceptible","<2","<","2","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.263","Acinetobacter radioresistens E695547","cefepime","Susceptible","==8","==","8","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.263","Acinetobacter radioresistens E695547","colistin","Susceptible","<0.5","<","0.5","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.263","Acinetobacter radioresistens E695547","imipenem","Resistant","==8","==","8","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.263","Acinetobacter radioresistens E695547","meropenem","Resistant","==16","==","16","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.263","Acinetobacter radioresistens E695547","tobramycin","Susceptible","<0.5","<","0.5","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.262","Acinetobacter radioresistens E679546","amikacin","Susceptible","<2","<","2","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.262","Acinetobacter radioresistens E679546","cefepime","Susceptible","<1","<","1","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.262","Acinetobacter radioresistens E679546","colistin","Susceptible","<0.5","<","0.5","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.262","Acinetobacter radioresistens E679546","imipenem","Susceptible","<1","<","1","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
40216,"40216.262","Acinetobacter radioresistens E679546","meropenem","Susceptible","==0.2","==","0.2","mg/L","MIC","","Sensititre","","CLSI","","","","","","",""
