"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
40324,"40324.2683","Stenotrophomonas maltophilia Smal36","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2688","Stenotrophomonas maltophilia Smal1","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","azithromycin","Susceptible","==30","=","30","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2681","Stenotrophomonas maltophilia Smal3","trimethoprim/sulfamethoxazole","Resistant","==9","=","9","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2686","Stenotrophomonas maltophilia Smal34","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2681","Stenotrophomonas maltophilia Smal3","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2682","Stenotrophomonas maltophilia Smal18","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==27","=","27","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","gentamicin","Susceptible","==28","=","28","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2687","Stenotrophomonas maltophilia Smal17","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==24","=","24","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2675","Stenotrophomonas maltophilia Smal28","trimethoprim/sulfamethoxazole","Resistant","==6","=","6","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2686","Stenotrophomonas maltophilia Smal34","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==24","=","24","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","oxacillin","Resistant","==6","=","6","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2690","Stenotrophomonas maltophilia Smal33","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==21","=","21","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","meropenem","Susceptible","==17","=","17","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2735","Stenotrophomonas maltophilia Smal16","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2677","Stenotrophomonas maltophilia Smal21","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2680","Stenotrophomonas maltophilia Smal35","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2675","Stenotrophomonas maltophilia Smal28","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2915","Stenotrophomonas maltophilia Smal15","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==28","=","28","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2736","Stenotrophomonas maltophilia Smal24","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2915","Stenotrophomonas maltophilia Smal15","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","levofloxacin","Susceptible","==36","=","36","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2912","Stenotrophomonas maltophilia Smal42","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==21","=","21","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2672","Stenotrophomonas maltophilia Smal13","trimethoprim/sulfamethoxazole","Resistant","==6","=","6","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2914","Stenotrophomonas maltophilia Smal37","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2680","Stenotrophomonas maltophilia Smal35","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==20","=","20","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2736","Stenotrophomonas maltophilia Smal24","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==24","=","24","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2913","Stenotrophomonas maltophilia Smal39","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","cefazolin","Resistant","==6","=","6","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2737","Stenotrophomonas maltophilia Smal22","trimethoprim/sulfamethoxazole","Resistant","==8","=","8","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.3053","Stenotrophomonas maltophilia Smal41","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","tobramycin","Susceptible","==35","=","35","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2673","Stenotrophomonas maltophilia Smal11","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==17","=","17","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2682","Stenotrophomonas maltophilia Smal18","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2685","Stenotrophomonas maltophilia Smal32","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==26","=","26","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2684","Stenotrophomonas maltophilia Smal4","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.3053","Stenotrophomonas maltophilia Smal41","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==18","=","18","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2914","Stenotrophomonas maltophilia Smal37","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==22","=","22","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","cefepime","Resistant","==6","=","6","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","ampicillin","Resistant","==6","=","6","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","erythromycin","Susceptible","==26","=","26","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2674","Stenotrophomonas maltophilia Smal6","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2687","Stenotrophomonas maltophilia Smal17","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2913","Stenotrophomonas maltophilia Smal39","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==20","=","20","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2737","Stenotrophomonas maltophilia Smal22","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2674","Stenotrophomonas maltophilia Smal6","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==25","=","25","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2672","Stenotrophomonas maltophilia Smal13","trimethoprim/sulfamethoxazole","Resistant",">8/152",">","8/152","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2676","Stenotrophomonas maltophilia Smal2","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/20","<=","1/20","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2676","Stenotrophomonas maltophilia Smal2","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==20","=","20","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","clindamycin","Resistant","==13","=","13","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2690","Stenotrophomonas maltophilia Smal33","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2688","Stenotrophomonas maltophilia Smal1","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==24","=","24","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2679","Stenotrophomonas maltophilia Smal5","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","==17","=","17","mm","Disk diffusion","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","ceftriaxone","Resistant","==12","=","12","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","amoxicillin","Resistant","==6","=","6","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
40324,"40324.2685","Stenotrophomonas maltophilia Smal32","trimethoprim/sulfamethoxazole","Susceptible-dose dependent","<=1/19","<=","1/19","mg/L","MIC","96-Well Plate","","","EUCAST","","","","","","",""
40324,"40324.2327","Stenotrophomonas maltophilia SCAID WND1-2022 (370) strain SCAID WND1-2022 (370)","carbenicillin","Resistant","==16","=","16","mm","Disk diffusion","Disk difussion method in Mueller-Hinton Agar","Scan 500","Interscience","CLSI","","","","","","",""
