"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
43770,"43770.999","Corynebacterium striatum strain ICDC.Cs222","ciprofloxacin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1053","Corynebacterium striatum strain ICDC.Cs427","penicillin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1028","Corynebacterium striatum strain ICDC.Cs297","meropenem","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1038","Corynebacterium striatum strain ICDC.Cs436","erythromycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1014","Corynebacterium striatum strain ICDC.Cs276","clindamycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1029","Corynebacterium striatum strain ICDC.Cs307","cefotaxime","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1010","Corynebacterium striatum strain ICDC.Cs255","ciprofloxacin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1033","Corynebacterium striatum strain ICDC.Cs423","gentamicin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1033","Corynebacterium striatum strain ICDC.Cs423","penicillin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1000","Corynebacterium striatum strain ICDC.Cs254","gentamicin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.986","Corynebacterium striatum strain ICDC.Cs185","penicillin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1059","Corynebacterium striatum strain ICDC.Cs477","erythromycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1058","Corynebacterium striatum strain ICDC.Cs490","meropenem","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.998","Corynebacterium striatum strain ICDC.Cs217","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1057","Corynebacterium striatum strain ICDC.Cs491","ciprofloxacin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.994","Corynebacterium striatum strain ICDC.Cs212","cefotaxime","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.987","Corynebacterium striatum strain ICDC.Cs182","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1044","Corynebacterium striatum strain ICDC.Cs467","rifampin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1004","Corynebacterium striatum strain ICDC.Cs251","meropenem","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1035","Corynebacterium striatum strain ICDC.Cs433","cefotaxime","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1007","Corynebacterium striatum strain ICDC.Cs237","erythromycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.999","Corynebacterium striatum strain ICDC.Cs222","clindamycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1029","Corynebacterium striatum strain ICDC.Cs307","meropenem","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1050","Corynebacterium striatum strain ICDC.Cs456","gentamicin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1021","Corynebacterium striatum strain ICDC.Cs301","cefotaxime","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1061","Corynebacterium striatum strain ICDC.Cs488","rifampin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1006","Corynebacterium striatum strain ICDC.Cs236","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1003","Corynebacterium striatum strain ICDC.Cs253","ciprofloxacin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1035","Corynebacterium striatum strain ICDC.Cs433","clindamycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1006","Corynebacterium striatum strain ICDC.Cs236","erythromycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1036","Corynebacterium striatum strain ICDC.Cs434","penicillin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.985","Corynebacterium striatum strain ICDC.Cs191","penicillin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1027","Corynebacterium striatum strain ICDC.Cs296","doxycycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1013","Corynebacterium striatum strain ICDC.Cs274","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.984","Corynebacterium striatum strain ICDC.Cs177","penicillin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1040","Corynebacterium striatum strain ICDC.Cs441","clindamycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1058","Corynebacterium striatum strain ICDC.Cs490","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1008","Corynebacterium striatum strain ICDC.Cs231","clindamycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.976","Corynebacterium striatum strain ICDC.Cs163","meropenem","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1053","Corynebacterium striatum strain ICDC.Cs427","erythromycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1006","Corynebacterium striatum strain ICDC.Cs236","ciprofloxacin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.983","Corynebacterium striatum strain ICDC.Cs181","penicillin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.989","Corynebacterium striatum strain ICDC.Cs193","erythromycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1036","Corynebacterium striatum strain ICDC.Cs434","erythromycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1001","Corynebacterium striatum strain ICDC.Cs252","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.979","Corynebacterium striatum strain ICDC.Cs173","cefotaxime","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1053","Corynebacterium striatum strain ICDC.Cs427","clindamycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1017","Corynebacterium striatum strain ICDC.Cs263","ciprofloxacin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1028","Corynebacterium striatum strain ICDC.Cs297","erythromycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1039","Corynebacterium striatum strain ICDC.Cs437","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1046","Corynebacterium striatum strain ICDC.Cs469","meropenem","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.704","Corynebacterium striatum strain 413","erythromycin","Resistant","12","=","12","mg/L","Broth dilution","","","BioMerieux","CLSI","","","","","Laboratory Method","",""
43770,"43770.975","Corynebacterium striatum strain ICDC.Cs160","ciprofloxacin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1013","Corynebacterium striatum strain ICDC.Cs274","cefotaxime","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1022","Corynebacterium striatum strain ICDC.Cs299","cefotaxime","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.992","Corynebacterium striatum strain ICDC.Cs215","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1048","Corynebacterium striatum strain ICDC.Cs460","doxycycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1051","Corynebacterium striatum strain ICDC.Cs466","doxycycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1007","Corynebacterium striatum strain ICDC.Cs237","tetracycline","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
43770,"43770.1001","Corynebacterium striatum strain ICDC.Cs252","clindamycin","Resistant","","","","","Broth dilution","","","","CLSI",2016,"","","","Laboratory Method","","[31315959]"
