"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","chloramphenicol","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","ciprofloxacin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","daptomycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","erythromycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","gentamicin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","kanamycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","lincomycin","Intermediate","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","linezolid","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","penicillin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","sulfamethazine","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","tetracycline","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","tgecycline","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","tylosin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","vancomycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.73","Enterococcus cecorum strain 100AEA1","virginiamycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","chloramphenicol","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","ciprofloxacin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","daptomycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","erythromycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","gentamicin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","kanamycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","lincomycin","Intermediate","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","linezolid","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","penicillin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","sulfamethazine","Resistant","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","tetracycline","Resistant","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","tgecycline","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","tylosin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","vancomycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.72","Enterococcus cecorum strain 108EA1","virginiamycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","chloramphenicol","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","ciprofloxacin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","daptomycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","erythromycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","gentamicin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","kanamycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","lincomycin","Resistant","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","linezolid","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","penicillin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","sulfamethazine","Resistant","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","tetracycline","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","tgecycline","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","tylosin","Resistant","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","vancomycin","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.71","Enterococcus cecorum strain 170AEA1","virginiamycin","Resistant","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
44008,"44008.74","Enterococcus cecorum strain 197EA2","chloramphenicol","Susceptible","","","","","cation-adjusted Mueller-Hinton broth","","","","CLSI",2018,"","","","Laboratory Method","","[31471308]"
