"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
471,"471.57","Acinetobacter calcoaceticus strain 295","ciprofloxacin","Susceptible","1","=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","trimethoprim/sulfamethoxazole","Susceptible","1/19","<=","1/19","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","cefepime","Intermediate","8","=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","tetracycline","Susceptible","2","=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","levofloxacin","Susceptible","1","=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","meropenem","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","ceftazidime","Susceptible","4","=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","gentamicin","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","tobramycin","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
471,"471.57","Acinetobacter calcoaceticus strain 295","ceftriaxone","Intermediate","16.0","=","16.0","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
