"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
47678,"47678.1447","Bacteroides caccae BJH_79","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1447","Bacteroides caccae BJH_79","piperacillin/tazobactam","","4","","4","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1447","Bacteroides caccae BJH_79","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1447","Bacteroides caccae BJH_79","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1448","Bacteroides caccae BJH_80","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1448","Bacteroides caccae BJH_80","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1446","Bacteroides caccae BJH_110","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1446","Bacteroides caccae BJH_110","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1446","Bacteroides caccae BJH_110","metronidazole","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1446","Bacteroides caccae BJH_110","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1448","Bacteroides caccae BJH_80","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
47678,"47678.1448","Bacteroides caccae BJH_80","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
