"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
48296,"48296.149","Acinetobacter pittii strain UKK-0556","tetracycline","","==1","=","1","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.111","Acinetobacter pittii strain UKK-0538","ciprofloxacin","Resistant","==4","=","4","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.147","Acinetobacter pittii strain UKK-0549","gentamicin","Resistant","==32","=","32","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.102","Acinetobacter pittii strain UKK-0542","amikacin","Susceptible","<=2","<=","2","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.111","Acinetobacter pittii strain UKK-0538","tetracycline","","==8","=","8","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.110","Acinetobacter pittii strain St-14569-91","gentamicin","Susceptible","==1","=","1","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.144","Acinetobacter pittii strain UKK-0552","tigecycline","","==0.25","=","0.25","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.154","Acinetobacter pittii strain St-15639-91","tetracycline","","==1","=","1","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.161","Acinetobacter pittii strain UKK-0555","ciprofloxacin","Resistant","==16","=","16","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.132","Acinetobacter pittii strain UKK-0145","imipenem","Susceptible","==1","=","1","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.149","Acinetobacter pittii strain UKK-0556","meropenem","Nonsusceptible","==4","=","4","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.153","Acinetobacter pittii strain St-14379-92","gentamicin","Susceptible","==2","=","2","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.147","Acinetobacter pittii strain UKK-0549","tigecycline","","==0.5","=","0.5","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.127","Acinetobacter pittii strain UKK-0547","tetracycline","","==2","=","2","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
48296,"48296.159","Acinetobacter pittii strain UKK-0540","amikacin","Resistant","==64","=","64","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
