"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
487,"487.4653","Neisseria meningitidis NIID760","ceftriaxone","Susceptible","<=0.002","<=","0.002","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4467","Neisseria meningitidis NIID436","azithromycin","Susceptible","0.19","","0.19","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4454","Neisseria meningitidis NIID691","ciprofloxacin","Susceptible","0.004","","0.004","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4670","Neisseria meningitidis NIID779","ciprofloxacin","Susceptible","0.004","","0.004","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4651","Neisseria meningitidis NIID750","ciprofloxacin","Susceptible","0.003","","0.003","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4615","Neisseria meningitidis NIID700","penicillin","Susceptible","0.064","","0.064","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4502","Neisseria meningitidis NIID485","ciprofloxacin","Susceptible","0.003","","0.003","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4692","Neisseria meningitidis NIID631","minocycline","Susceptible","0.75","","0.75","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4617","Neisseria meningitidis NIID713","ciprofloxacin","Resistant","0.125","","0.125","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4459","Neisseria meningitidis NIID422","penicillin","Intermediate","0.094","","0.094","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4474","Neisseria meningitidis NIID446","penicillin","Susceptible","0.047","","0.047","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4660","Neisseria meningitidis NIID766","ceftriaxone","Susceptible","0.004","","0.004","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4555","Neisseria meningitidis NIID559","meropenem","Susceptible","0.006","","0.006","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4699","Neisseria meningitidis NIID792","ciprofloxacin","Susceptible","0.004","","0.004","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4521","Neisseria meningitidis NIID505","azithromycin","Susceptible","0.19","","0.19","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4563","Neisseria meningitidis NIID569","ciprofloxacin","Susceptible","0.004","","0.004","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4456","Neisseria meningitidis NIID692","azithromycin","Susceptible","0.5","","0.5","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4636","Neisseria meningitidis NIID742","azithromycin","Susceptible","0.25","","0.25","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4458","Neisseria meningitidis NIID420","meropenem","Susceptible","0.012","","0.012","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4447","Neisseria meningitidis NIID678","ciprofloxacin","Resistant","0.125","","0.125","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4636","Neisseria meningitidis NIID742","ciprofloxacin","Susceptible","0.003","","0.003","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4602","Neisseria meningitidis NIID633","ciprofloxacin","Susceptible","0.003","","0.003","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4545","Neisseria meningitidis NIID538","penicillin","Susceptible","0.032","","0.032","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.3232","Neisseria meningitidis strain AUSMDU00010537","penicillin","Resistant","","","","","Agar dilution","","","","","","","","","Laboratory Method","","[33180013]"
487,"487.4425","Neisseria meningitidis NIID777","azithromycin","Susceptible","0.016","","0.016","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4568","Neisseria meningitidis NIID574","ceftriaxone","Susceptible","<0.002","<","0.002","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4460","Neisseria meningitidis NIID423","ciprofloxacin","Susceptible","0.003","","0.003","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4652","Neisseria meningitidis NIID762","azithromycin","Susceptible","0.25","","0.25","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.3714","Neisseria meningitidis strain NM8633-sc-1963053","macrolides","Susceptible","","","","","Disk diffusion","","E-test","","British Society for Antimicrobial Chemotherapy (EUCAST)",2016,"","","","Laboratory Method","","[28137933]"
487,"487.4447","Neisseria meningitidis NIID678","penicillin","Susceptible","0.064","","0.064","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4426","Neisseria meningitidis NIID782","ceftriaxone","Susceptible","0.004","","0.004","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4479","Neisseria meningitidis NIID452","ceftriaxone","Susceptible","<=0.002","<=","0.002","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4497","Neisseria meningitidis NIID475","meropenem","Susceptible","0.008","","0.008","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4642","Neisseria meningitidis NIID732","penicillin","Susceptible","0.047","","0.047","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4650","Neisseria meningitidis NIID751","azithromycin","Susceptible","0.19","","0.19","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4645","Neisseria meningitidis NIID743","azithromycin","Susceptible","0.5","","0.5","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4548","Neisseria meningitidis NIID541","minocycline","Susceptible","0.64","","0.64","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4466","Neisseria meningitidis NIID430","penicillin","Susceptible","0.047","","0.047","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4471","Neisseria meningitidis NIID444","chloramphenicol","Susceptible","1","","1","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.4547","Neisseria meningitidis NIID537","meropenem","Susceptible","0.008","","0.008","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
487,"487.3703","Neisseria meningitidis strain NM10853-sc-1963076","macrolides","Susceptible","","","","","Disk diffusion","","E-test","","British Society for Antimicrobial Chemotherapy (EUCAST)",2016,"","","","Laboratory Method","","[28137933]"
487,"487.4487","Neisseria meningitidis NIID461","penicillin","Susceptible","0.047","","0.047","mg/L","MIC","","","BioMerieux","CLSI",2020,"","","","Laboratory Method","","[37874301]"
