"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
488447,"488447.401","Burkholderia contaminans O-13","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
488447,"488447.211","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","carbenicillin","Susceptible","==20","=","20","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.45","Burkholderia contaminans strain 293","trimethoprim/sulfamethoxazole","Susceptible","28","=","28","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
488447,"488447.265","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","ampicillin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.265","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","ceftriaxone","Susceptible","==19","=","19","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.223","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","tobramycin","Susceptible","==21","=","21","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.45","Burkholderia contaminans strain 293","colistin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
488447,"488447.246","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","amikacin","Susceptible","==27","=","27","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.223","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","ampicillin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.284","Burkholderia contaminans SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","imipenem","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.401","Burkholderia contaminans O-13","tobramycin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
488447,"488447.265","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","carbenicillin","Susceptible","==20","=","20","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.401","Burkholderia contaminans O-13","netilmicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
488447,"488447.284","Burkholderia contaminans SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","azithromycin","Susceptible","==21","=","21","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.246","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","azithromycin","Susceptible","==21","=","21","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.401","Burkholderia contaminans O-13","piperacillin","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
488447,"488447.223","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","amoxicillin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.211","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","oxacillin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.223","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","ceftriaxone","Susceptible","==19","=","19","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.246","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","carbenicillin","Susceptible","==20","=","20","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.284","Burkholderia contaminans SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","carbenicillin","Susceptible","==20","=","20","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.211","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","ampicillin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.284","Burkholderia contaminans SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","gentamicin","Susceptible","==21","=","21","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.401","Burkholderia contaminans O-13","gentamicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
488447,"488447.401","Burkholderia contaminans O-13","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
488447,"488447.401","Burkholderia contaminans O-13","ciprofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
488447,"488447.265","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","cefazolin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.246","Burkholderia contaminans strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","meropenem","Susceptible","==30","=","30","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.284","Burkholderia contaminans SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","meropenem","Susceptible","==30","=","30","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
488447,"488447.284","Burkholderia contaminans SCAID TST1-2021 (11/270) strain SCAID TST1-2021 (11/270)","erythromycin","Susceptible","==21","=","21","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
