"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","levofloxacin","Intermediate","4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","tigecycline","Intermediate","4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","cefepime","Resistant","32","=","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","polymyxin B","","2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","aztreonam","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","imipenem","Resistant","4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","trimethoprim/sulfamethoxazole","Susceptible","0.25/4.75","<=","0.25/4.75","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","amoxicillin/clavulanic acid","Resistant","32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","ciprofloxacin","Intermediate","2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","ertapenem","Resistant","8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","tobramycin","Resistant","16","=","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","ceftazidime","Resistant","128",">","128","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","piperacillin/tazobactam","Resistant","128/4",">","128/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","gentamicin","Intermediate","8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","amikacin","Susceptible","8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","ceftriaxone","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","tetracycline","Resistant","16","=","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","ampicillin","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","doripenem","Resistant","4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","colistin","","0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","cefotaxime","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","meropenem","Resistant","8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","cefoxitin","Resistant","16",">","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
51288,"51288.17","Kluyvera ascorbata strain FDA-CDC-AR_0144","ampicillin/sulbactam","Resistant","32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
