"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
54291,"54291.262","Raoultella ornithinolytica strain Z&Z6408","imipenem","Intermediate","==2","=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","","",""
54291,"54291.596","Raoultella ornithinolytica ERR7428203","tigecycline","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
54291,"54291.261","Raoultella ornithinolytica strain Z&Z370","ceftriaxone","Susceptible","<=1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","","",""
54291,"54291.261","Raoultella ornithinolytica strain Z&Z370","ertapenem","Resistant","==4","=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","","",""
54291,"54291.133","Raoultella ornithinolytica strain FDA-CDC-AR_0134","tigecycline","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
54291,"54291.261","Raoultella ornithinolytica strain Z&Z370","amikacin","Susceptible","<=2","<=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","","",""
54291,"54291.595","Raoultella ornithinolytica ERR7428206","cefpodoxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
54291,"54291.595","Raoultella ornithinolytica ERR7428206","tigecycline","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
54291,"54291.596","Raoultella ornithinolytica ERR7428203","meropenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
54291,"54291.594","Raoultella ornithinolytica ERR7221459","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
