"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
548,"548.234","Klebsiella aerogenes strain AR_0018","colistin","","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.511","Klebsiella aerogenes strain MUGSI_207","ciprofloxacin","Intermediate","2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.524","Klebsiella aerogenes strain MUGSI_277","gentamicin","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.517","Klebsiella aerogenes strain MUGSI_236","cefepime","Susceptible","2","<=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.534","Klebsiella aerogenes strain MUGSI_290","ciprofloxacin","Susceptible","0.25","<","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.518","Klebsiella aerogenes strain MUGSI_238","ceftriaxone","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.545","Klebsiella aerogenes strain MUGSI_48","cefoxitin","Resistant","32",">=","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.545","Klebsiella aerogenes strain MUGSI_48","trimethoprim/sulfamethoxazole","Susceptible","0.25/4.75","<","0.25/4.75","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.539","Klebsiella aerogenes strain MUGSI_297","cefepime","Susceptible","1","<","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.509","Klebsiella aerogenes strain MUGSI_198","gentamicin","Susceptible","1","<","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.504","Klebsiella aerogenes strain MUGSI_178","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.513","Klebsiella aerogenes strain MUGSI_211","cefotaxime/clavulanic acid","","32/4","=","32/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.532","Klebsiella aerogenes strain MUGSI_288","cefotaxime","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.501","Klebsiella aerogenes strain MUGSI_155","polymyxin B","","2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.502","Klebsiella aerogenes strain MUGSI_156","ceftazidime/clavulanic acid","","32/4","=","32/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.234","Klebsiella aerogenes strain AR_0018","meropenem","Susceptible","<=0.12","<=","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.507","Klebsiella aerogenes strain MUGSI_189","colistin","","0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.545","Klebsiella aerogenes strain MUGSI_48","meropenem","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.521","Klebsiella aerogenes strain MUGSI_251","ampicillin","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.517","Klebsiella aerogenes strain MUGSI_236","piperacillin/tazobactam","Intermediate","64/4","=","64/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.497","Klebsiella aerogenes strain MUGSI_1","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.526","Klebsiella aerogenes strain MUGSI_281","ceftazidime/clavulanic acid","","64/4","=","64/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.525","Klebsiella aerogenes strain MUGSI_279","cefepime","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.404","Klebsiella aerogenes strain URMC217","piperacillin/tazobactam","Resistant",">=128/4",">=","128/4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
548,"548.401","Klebsiella aerogenes strain URMC223","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
548,"548.536","Klebsiella aerogenes strain MUGSI_294","ceftriaxone","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
548,"548.517","Klebsiella aerogenes strain MUGSI_236","cefotaxime/clavulanic acid","","32/4","=","32/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
