"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
550,"550.3557","Enterobacter cloacae 2485STDY5438382","aminogycosides","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2118","Enterobacter cloacae strain 366","gentamicin","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.2127","Enterobacter cloacae strain MUGSI_100","cefotaxime/clavulanic acid","","32/4","=","32/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.4579","Enterobacter cloacae ERR7419374","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.3705","Enterobacter cloacae 2485STDY5438435","trimotheprim","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.1145","Enterobacter cloacae strain AR_0136","meropenem","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2138","Enterobacter cloacae strain MUGSI_19","ceftazidime/clavulanic acid","","64/4","=","64/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.3581","Enterobacter cloacae 2485STDY5438436","trimotheprim","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2160","Enterobacter cloacae strain MUGSI_71","ceftriaxone","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2154","Enterobacter cloacae strain MUGSI_26","tobramycin","Resistant","16",">=","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.3543","Enterobacter cloacae 2485STDY5438365","fluoroquinolones","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.4586","Enterobacter cloacae ERR7419385","gentamicin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.2106","Enterobacter cloacae strain 102","levofloxacin","Resistant","8",">=","8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.2153","Enterobacter cloacae strain MUGSI_254","tetracycline","Susceptible","2","<","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2129","Enterobacter cloacae strain MUGSI_104","ceftriaxone","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.4577","Enterobacter cloacae ERR7419359","meropenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.1141","Enterobacter cloacae strain AR_0163","cefazolin","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.3558","Enterobacter cloacae 2485STDY5438388","trimotheprim","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2145","Enterobacter cloacae strain MUGSI_219","tetracycline","Intermediate","8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2163","Enterobacter cloacae strain SBJ_7612","chloramphenicol","Resistant","12","=","12","mm","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.4579","Enterobacter cloacae ERR7419374","ertapenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.1528","Enterobacter cloacae strain AR_0093","cefoxitin","Resistant",">16",">","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.1584","Enterobacter cloacae strain AR_038","aztreonam","Resistant",">64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.1647","Enterobacter cloacae strain AR_0032","ciprofloxacin","Susceptible","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2118","Enterobacter cloacae strain 366","cefepime","Susceptible","2","=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.2115","Enterobacter cloacae strain 296","cefepime","Resistant","16","=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.2142","Enterobacter cloacae strain MUGSI_20","ertapenem","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2156","Enterobacter cloacae strain MUGSI_56","tobramycin","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2141","Enterobacter cloacae strain MUGSI_199","ertapenem","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.622","Enterobacter cloacae strain MBRL1077","ciprofloxacin","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","EUCAST","","","","","Laboratory Method","",""
550,"550.4581","Enterobacter cloacae ERR7419375","tobramycin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.2121","Enterobacter cloacae strain 393","amikacin","Susceptible","4","=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.3500","Enterobacter cloacae 2485STDY5438315","trimotheprim","Resistant","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2155","Enterobacter cloacae strain MUGSI_289","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2154","Enterobacter cloacae strain MUGSI_26","colistin","","0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2153","Enterobacter cloacae strain MUGSI_254","cefoxitin","Resistant","32",">=","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.3577","Enterobacter cloacae 2485STDY5438425","fluoroquinolones","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2134","Enterobacter cloacae strain MUGSI_144","ampicillin","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2690","Enterobacter cloacae strain UM_CRE_44","carbapenem","Resistant","","","","","Broth dilution","","","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.3540","Enterobacter cloacae 2485STDY5438362","beta-lactam","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2142","Enterobacter cloacae strain MUGSI_20","ceftazidime/clavulanic acid","","64/4","=","64/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2117","Enterobacter cloacae strain 323","amoxicillin/clavulanic acid","Resistant","32/16",">=","32/16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.2156","Enterobacter cloacae strain MUGSI_56","levofloxacin","Susceptible","1","<","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.3568","Enterobacter cloacae 2485STDY5438415","aminogycosides","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2163","Enterobacter cloacae strain SBJ_7612","cefotetan","Resistant","6","=","6","mm","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.2114","Enterobacter cloacae strain 256","trimethoprim/sulfamethoxazole","Susceptible","1/19","<=","1/19","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.4591","Enterobacter cloacae ERR7448940","gentamicin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.3529","Enterobacter cloacae 2485STDY5438349","beta-lactam","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.1144","Enterobacter cloacae strain AR_0050","cefotaxime","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.3551","Enterobacter cloacae 2485STDY5438379","fluoroquinolones","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2146","Enterobacter cloacae strain MUGSI_220","ceftriaxone","Resistant","32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2731","Enterobacter cloacae strain PH112-1","ampicillin","Resistant","","","","","Disk diffusion","","","","CLSI",2015,"","","","Laboratory Method","","[27965630]"
550,"550.3525","Enterobacter cloacae 2485STDY5438345","beta-lactam","Resistant","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.4570","Enterobacter cloacae ERR7419331","ertapenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.2130","Enterobacter cloacae strain MUGSI_105","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.4591","Enterobacter cloacae ERR7448940","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.3508","Enterobacter cloacae 2485STDY5438323","aminogycosides","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.4370","Enterobacter cloacae 20200317_MGL_33","erythromycin","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
550,"550.2157","Enterobacter cloacae strain MUGSI_6","ceftazidime/clavulanic acid","","64/4","=","64/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2114","Enterobacter cloacae strain 256","ciprofloxacin","Susceptible","0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
550,"550.4562","Enterobacter cloacae ERR2107334","cefpodoxime_clavulanic_acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.2141","Enterobacter cloacae strain MUGSI_199","aztreonam","Susceptible","2","<","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2125","Enterobacter cloacae strain FDA-CDC-AR_0008","ampicillin/sulbactam","Resistant","32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2152","Enterobacter cloacae strain MUGSI_24","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.3527","Enterobacter cloacae 2485STDY5438346","beta-lactam","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.2147","Enterobacter cloacae strain MUGSI_222","ciprofloxacin","Susceptible","0.25","<","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.4584","Enterobacter cloacae ERR7419393","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.3578","Enterobacter cloacae 2485STDY5438434","trimotheprim","Susceptible","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.3604","Enterobacter cloacae 2485STDY5477942","trimotheprim","Resistant","","","","","Disk diffusion","","","","EUCAST","","","","","Laboratory Method","","[31477167]"
550,"550.4583","Enterobacter cloacae ERR7419392","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.2135","Enterobacter cloacae strain MUGSI_145","ciprofloxacin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.4592","Enterobacter cloacae ERR7448946","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
550,"550.1647","Enterobacter cloacae strain AR_0032","piperacillin/tazobactam","Resistant",">128/4",">","128/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2151","Enterobacter cloacae strain MUGSI_239","meropenem","Susceptible","0.12","<","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2137","Enterobacter cloacae strain MUGSI_176","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2148","Enterobacter cloacae strain MUGSI_228","amoxicillin/clavulanic acid","Resistant","32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.1142","Enterobacter cloacae strain AR_0053","polymyxin B","","==0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
550,"550.2129","Enterobacter cloacae strain MUGSI_104","tobramycin","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
