"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
571,"571.1983","Klebsiella oxytoca ERR7221422","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1999","Klebsiella oxytoca ERR7221445","amoxicillin/clavulanic acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1965","Klebsiella oxytoca ERR7221396","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.2031","Klebsiella oxytoca KXB44","gentamicin","Susceptible","<=1","<=","1","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.1948","Klebsiella oxytoca ERR7221378","gentamicin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1951","Klebsiella oxytoca ERR7221382","tigecycline","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.2027","Klebsiella oxytoca KXB10","ertapenem","Susceptible","<=1","<=","1","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.1976","Klebsiella oxytoca ERR7221416","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1977","Klebsiella oxytoca ERR7221419","cefpodoxime_clavulanic_acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1987","Klebsiella oxytoca ERR7221428","cefotaxime","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.2013","Klebsiella oxytoca KXB13","ciprofloxacin","Susceptible","<=1","<=","1","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.1972","Klebsiella oxytoca ERR7221415","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1953","Klebsiella oxytoca ERR7221381","cefpodoxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.808","Klebsiella oxytoca strain PBIO713","ciprofloxacin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","CLSI",2008,"","","","Laboratory Method","","[32066506]"
571,"571.1958","Klebsiella oxytoca ERR7221394","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.2027","Klebsiella oxytoca KXB10","cefoxitin","Susceptible","<=8","<=","8","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.1951","Klebsiella oxytoca ERR7221382","cefpodoxime_clavulanic_acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.2017","Klebsiella oxytoca KXB43","ciprofloxacin","Susceptible","<=1","<=","1","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.2025","Klebsiella oxytoca KXB25","amoxicillin/clavulanic acid","Susceptible","<=4/2","<=","4/2","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.1944","Klebsiella oxytoca ERR7221375","cefpodoxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.318","Klebsiella oxytoca strain AR_0028","tigecycline","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
571,"571.1984","Klebsiella oxytoca ERR7221424","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1943","Klebsiella oxytoca ERR7221369","amoxicillin/clavulanic acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1935","Klebsiella oxytoca ERR7221374","cefoxitin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1994","Klebsiella oxytoca ERR7221433","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.2016","Klebsiella oxytoca KXB15","trimethoprim/sulfamethoxazole","Susceptible","<=2/38","<=","2/38","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.2016","Klebsiella oxytoca KXB15","cefepime","Susceptible","<=4","<=","4","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.2024","Klebsiella oxytoca KXB9","ciprofloxacin","Susceptible","<=1","<=","1","mg/L","MIC","","","Beckman Coulter Inc","","","","","","Laboratory Method","","[37676032]"
571,"571.1999","Klebsiella oxytoca ERR7221445","cefotaxime","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.806","Klebsiella oxytoca strain PBIO727","trimethoprim/sulfamethoxazole","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","CLSI",2008,"","","","Laboratory Method","","[32066506]"
571,"571.1992","Klebsiella oxytoca ERR7221434","gentamicin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1958","Klebsiella oxytoca ERR7221394","amoxicillin/clavulanic acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1965","Klebsiella oxytoca ERR7221396","cefoxitin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1944","Klebsiella oxytoca ERR7221375","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1977","Klebsiella oxytoca ERR7221419","amikacin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1937","Klebsiella oxytoca ERR7221368","tobramycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.320","Klebsiella oxytoca strain AR380","ertapenem","Resistant","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
571,"571.446","Klebsiella oxytoca strain 481","tobramycin","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
571,"571.1957","Klebsiella oxytoca ERR7221391","tigecycline","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1956","Klebsiella oxytoca ERR7221390","meropenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
571,"571.1998","Klebsiella oxytoca ERR7221443","meropenem","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
