"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
57706,"57706.287","Citrobacter braakii ERR3143140","cefpodoxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
57706,"57706.286","Citrobacter braakii ERR3143119","amikacin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
57706,"57706.288","Citrobacter braakii ERR3143168","meropenem","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
57706,"57706.79","Citrobacter braakii strain S169","ciprofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","Broth dilution","","E-test","BioMerieux","CLSI","","","","","","",""
57706,"57706.288","Citrobacter braakii ERR3143168","cefoxitin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
57706,"57706.288","Citrobacter braakii ERR3143168","cefpodoxime_clavulanic_acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
57706,"57706.79","Citrobacter braakii strain S169","cefoxitin","Resistant","==64","=","64","mg/L","Broth dilution","","E-test","BioMerieux","CLSI","","","","","","",""
57706,"57706.287","Citrobacter braakii ERR3143140","ertapenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
57706,"57706.140","Citrobacter braakii strain Survcare462","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
57706,"57706.287","Citrobacter braakii ERR3143140","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
