"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
582,"582.243","Morganella morganii strain 408","ertapenem","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
582,"582.759","Morganella morganii MGL_R2GC1","erythromycin","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
582,"582.138","Morganella morganii strain AR_0133","cefoxitin","Resistant",">16",">","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
582,"582.243","Morganella morganii strain 408","piperacillin/tazobactam","Susceptible","4/4","<=","4/4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
582,"582.758","Morganella morganii MGL_R4GC","imipenem","Intermediate","21","","21","mm","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
582,"582.827","Morganella morganii MGL_R2GC1","polymyxin B","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
582,"582.758","Morganella morganii MGL_R4GC","nalidixic acid","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
582,"582.759","Morganella morganii MGL_R2GC1","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","","","","","","","Laboratory Method","","[37549252]"
582,"582.824","Morganella morganii MGL_R4GC","doxycycline","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
582,"582.138","Morganella morganii strain AR_0133","tobramycin","Susceptible","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
582,"582.824","Morganella morganii MGL_R4GC","tetracycline","Resistant","","","","","Disk diffusion","","","BD","CLSI, EUCAST",2021,"","","","Laboratory Method","","[37549252]"
