"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
585,"585.59","Proteus vulgaris strain 330","ciprofloxacin","Susceptible","33","=","33","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
585,"585.159","Proteus vulgaris strain USDA-ARS-USMARC-49741 strain not applicable","ceftriaxone","Resistant","==16","=","16","mg/L","MIC","CMV2AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
585,"585.59","Proteus vulgaris strain 330","cefotetan","Susceptible","30","=","30","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
585,"585.159","Proteus vulgaris strain USDA-ARS-USMARC-49741 strain not applicable","sulfisoxazole","Resistant",">=256",">=","256","mg/L","MIC","CMV2AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
585,"585.59","Proteus vulgaris strain 330","piperacillin/tazobactam","Susceptible","33","=","33","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
585,"585.59","Proteus vulgaris strain 330","cefepime","Susceptible","35","=","35","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
585,"585.162","Proteus vulgaris USDA-ARS-USMARC-49741","streptomycin","Resistant",">=64",">=","64","mg/L","MIC","CMV2AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
585,"585.59","Proteus vulgaris strain 330","ertapenem","Susceptible","31","=","31","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
585,"585.59","Proteus vulgaris strain 330","colistin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
585,"585.162","Proteus vulgaris USDA-ARS-USMARC-49741","ciprofloxacin","Susceptible","==0.5","=","0.5","mg/L","MIC","CMV2AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
585,"585.59","Proteus vulgaris strain 330","levofloxacin","Susceptible","34","=","34","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
585,"585.59","Proteus vulgaris strain 330","ampicillin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
585,"585.159","Proteus vulgaris strain USDA-ARS-USMARC-49741 strain not applicable","ampicillin","Resistant",">=32",">=","32","mg/L","MIC","CMV2AGNF","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
