"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
587,"587.78","Providencia rettgeri strain AR_0082","ertapenem","Resistant","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","cefazolin","Resistant",">16",">","16","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","sulfisoxazole","Resistant",">256",">","256","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","imipenem","Resistant","==4","=","4","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.247","Providencia rettgeri strain Res13-Sevr-LER2-33","meropenem","Resistant",">8",">","8","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.247","Providencia rettgeri strain Res13-Sevr-LER2-33","cefotaxime/clavulanic acid","","==64/1","=","64/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","cefoxitin","Resistant",">64",">","64","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","cefazolin","Resistant",">16",">","16","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.78","Providencia rettgeri strain AR_0082","cefoxitin","Intermediate","==16","=","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.247","Providencia rettgeri strain Res13-Sevr-LER2-33","tetracycline","Resistant",">32",">","32","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","nalidixic acid","Susceptible","==4","=","4","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","ceftazidime/clavulanic acid","","==64/1","=","64/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.247","Providencia rettgeri strain Res13-Sevr-LER2-33","azithromycin","Resistant",">32",">","32","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.497","Providencia rettgeri HINS RB1161","aztreonam","Susceptible","==33","=","33","mm","Disk diffusion","","","","CLSI","","","","","","",""
587,"587.497","Providencia rettgeri HINS RB1161","amikacin","Susceptible","==19","=","19","mm","Disk diffusion","","","","CLSI","","","","","","",""
587,"587.78","Providencia rettgeri strain AR_0082","doripenem","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.247","Providencia rettgeri strain Res13-Sevr-LER2-33","streptomycin","Susceptible","==4","=","4","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","tetracycline","Resistant",">32",">","32","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.78","Providencia rettgeri strain AR_0082","amoxicillin/clavulanic acid","Resistant",">32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.78","Providencia rettgeri strain AR_0082","colistin","","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","cefotaxime/clavulanic acid","","==64/1","=","64/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","cephalothin","Resistant",">16",">","16","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.78","Providencia rettgeri strain AR_0082","ampicillin","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.497","Providencia rettgeri HINS RB1161","ciprofloxacin","Resistant","==15","=","15","mm","Disk diffusion","","","","CLSI","","","","","","",""
587,"587.247","Providencia rettgeri strain Res13-Sevr-LER2-33","gentamicin","Intermediate","==8","=","8","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.497","Providencia rettgeri HINS RB1161","cefepime","Susceptible","==25","=","25","mm","Disk diffusion","","","","CLSI","","","","","","",""
587,"587.279","Providencia rettgeri strain SG003","ertapenem","Resistant",">1",">","1","mg/L","Broth dilution","","MicroScan","Siemens","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","trimethoprim/sulfamethoxazole","Susceptible","==1/1","=","1/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.78","Providencia rettgeri strain AR_0082","ceftazidime","Resistant",">128",">","128","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","meropenem","Resistant",">8",">","8","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","ciprofloxacin","Susceptible","<=1","<=","1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.247","Providencia rettgeri strain Res13-Sevr-LER2-33","ceftazidime","Resistant","==64","=","64","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.78","Providencia rettgeri strain AR_0082","cefepime","Susceptible","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.78","Providencia rettgeri strain AR_0082","aztreonam","Resistant","==64","=","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.78","Providencia rettgeri strain AR_0082","polymyxin B","","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","ampicillin","Resistant",">32",">","32","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.78","Providencia rettgeri strain AR_0082","amikacin","Susceptible","==2","=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.78","Providencia rettgeri strain AR_0082","tobramycin","Susceptible","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","cefotaxime/clavulanic acid","","==64/1","=","64/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.497","Providencia rettgeri HINS RB1161","ceftazidime","Intermediate","==20","=","20","mm","Disk diffusion","","","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","meropenem","Resistant","==4","=","4","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.78","Providencia rettgeri strain AR_0082","imipenem","Resistant","==32","=","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","sulfisoxazole","Resistant",">256",">","256","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","azithromycin","Resistant",">16",">","16","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","nalidixic acid","Susceptible","==4","=","4","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","trimethoprim/sulfamethoxazole","Susceptible","==1/1","=","1/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.247","Providencia rettgeri strain Res13-Sevr-LER2-33","imipenem","Resistant","==8","=","8","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","cefpodoxime","Resistant",">32",">","32","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.497","Providencia rettgeri HINS RB1161","cefotaxime","Resistant","==21","=","21","mm","Disk diffusion","","","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","ceftazidime/clavulanic acid","","==64/1","=","64/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","piperacillin/tazobactam","Susceptible","<=4/1","<=","4/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.246","Providencia rettgeri strain Res13-Sevr-LER2-34","amoxicillin/clavulanic acid","Resistant",">32/1",">","32/1","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
587,"587.248","Providencia rettgeri strain Res13-Sevr-LER2-36","cefotaxime","Resistant",">64",">","64","mg/L","Broth dilution","","Sensititer","","CLSI","","","","","","",""
