"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
588,"588.45","Providencia stuartii strain AR_0026","tetracycline","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","ampicillin/sulbactam","Susceptible","==8/4","=","8/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.315","Providencia stuartii ERR7221460","cefoxitin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.45","Providencia stuartii strain AR_0026","amoxicillin/clavulanic acid","Resistant",">32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","cefazolin","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.315","Providencia stuartii ERR7221460","tobramycin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.315","Providencia stuartii ERR7221460","cefpodoxime_clavulanic_acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.45","Providencia stuartii strain AR_0026","ceftriaxone","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.315","Providencia stuartii ERR7221460","amoxicillin/clavulanic acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.315","Providencia stuartii ERR7221460","meropenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.315","Providencia stuartii ERR7221460","ertapenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.315","Providencia stuartii ERR7221460","tigecycline","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.315","Providencia stuartii ERR7221460","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.315","Providencia stuartii ERR7221460","cefotaxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.45","Providencia stuartii strain AR_0026","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","cefotaxime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","piperacillin/tazobactam","Susceptible","<=4/4","<=","4/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","levofloxacin","Susceptible","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","ceftazidime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","trimethoprim/sulfamethoxazole","Susceptible","<=0.25/4.75","<=","0.25/4.75","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","gentamicin","Susceptible","==0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","cefoxitin","Susceptible","<=2","<=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","imipenem","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","meropenem","Susceptible","<=0.12","<=","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","ertapenem","Susceptible","<=0.12","<=","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","colistin","",">4",">","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.45","Providencia stuartii strain AR_0026","doripenem","Susceptible","==0.25","=","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.315","Providencia stuartii ERR7221460","gentamicin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.45","Providencia stuartii strain AR_0026","aztreonam","Susceptible","<=2","<=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
588,"588.315","Providencia stuartii ERR7221460","cefpodoxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
588,"588.45","Providencia stuartii strain AR_0026","tobramycin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
