"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
60550,"60550.25","Burkholderia pyrrocinia strain 292","meropenem","Susceptible","26","=","26","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.25","Burkholderia pyrrocinia strain 292","colistin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.27","Burkholderia pyrrocinia strain 306","colistin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.27","Burkholderia pyrrocinia strain 306","trimethoprim/sulfamethoxazole","Susceptible","23","=","23","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.27","Burkholderia pyrrocinia strain 306","ceftazidime","Susceptible","29","=","29","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.26","Burkholderia pyrrocinia strain 291","colistin","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.27","Burkholderia pyrrocinia strain 306","meropenem","Susceptible","23","=","23","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.26","Burkholderia pyrrocinia strain 291","ceftazidime","Susceptible","30","=","30","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.25","Burkholderia pyrrocinia strain 292","ceftazidime","Susceptible","30","=","30","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.26","Burkholderia pyrrocinia strain 291","trimethoprim/sulfamethoxazole","Susceptible","24","=","24","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.25","Burkholderia pyrrocinia strain 292","minocycline","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.26","Burkholderia pyrrocinia strain 291","minocycline","Susceptible","28","=","28","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.25","Burkholderia pyrrocinia strain 292","trimethoprim/sulfamethoxazole","Susceptible","28","=","28","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.26","Burkholderia pyrrocinia strain 291","meropenem","Susceptible","24","=","24","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
60550,"60550.27","Burkholderia pyrrocinia strain 306","minocycline","Susceptible","25","=","25","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
