"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
614,"614.23","Serratia liquefaciens strain JL03","streptomycin","",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.23","Serratia liquefaciens strain JL03","chloramphenicol","Resistant",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","amoxicillin","Resistant",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","gentamicin","Resistant",">16",">","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","sulfamethoxazole","",">256",">","256","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","tetracycline","Resistant",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.23","Serratia liquefaciens strain JL03","gentamicin","Resistant",">16",">","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","trimethoprim/sulfamethoxazole","Resistant",">0.25/4.75",">","0.25/4.75","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.23","Serratia liquefaciens strain JL03","ciprofloxacin","Resistant",">4",">","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","ceftriaxone","Resistant",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","ceftiofur","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.23","Serratia liquefaciens strain JL03","sulfamethoxazole","",">256",">","256","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.23","Serratia liquefaciens strain JL03","trimethoprim/sulfamethoxazole","Resistant",">4/76",">","4/76","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.23","Serratia liquefaciens strain JL03","ceftriaxone","Resistant",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","chloramphenicol","Intermediate",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
614,"614.22","Serratia liquefaciens strain JL02","streptomycin","",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
