"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
615,"615.2301","Serratia marcescens ERR2174390","colistin","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.640","Serratia marcescens strain AR_0099","ertapenem","Resistant",">8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.2301","Serratia marcescens ERR2174390","amoxicillin","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.641","Serratia marcescens strain AR_0091","trimethoprim/sulfamethoxazole","Susceptible","<=0.5/9.5","<=","0.5/9.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.633","Serratia marcescens strain AR_0130","ampicillin/sulbactam","Resistant",">32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.899","Serratia marcescens strain 95","tetracycline","Resistant","16",">=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.637","Serratia marcescens strain AR_0123","polymyxin B","",">4",">","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.2301","Serratia marcescens ERR2174390","ofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.1462","Serratia marcescens strain MRSN696556","amikacin","Susceptible","==16","=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","","",""
615,"615.640","Serratia marcescens strain AR_0099","ceftazidime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.2299","Serratia marcescens ERR2174388","piperacillin/tazobactam","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.899","Serratia marcescens strain 95","cefazolin","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.640","Serratia marcescens strain AR_0099","cefoxitin","Resistant",">16",">","16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.653","Serratia marcescens strain AR_0131","cefepime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.898","Serratia marcescens strain 94","amikacin","Susceptible","2","<=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.2299","Serratia marcescens ERR2174388","imipenem","Intermediate","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.653","Serratia marcescens strain AR_0131","ciprofloxacin","Susceptible","==0.25","=","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.2298","Serratia marcescens ERR2174387","amikacin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.652","Serratia marcescens strain 332","gentamicin","Susceptible","<=1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.3188","Serratia marcescens ERR7428205","ertapenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
615,"615.895","Serratia marcescens strain 331","ciprofloxacin","Susceptible","0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.3187","Serratia marcescens ERR7428204","cefpodoxime","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
615,"615.638","Serratia marcescens strain AR_0124","ampicillin","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.1462","Serratia marcescens strain MRSN696556","cefepime","Resistant",">32",">","32","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","","",""
615,"615.898","Serratia marcescens strain 94","ertapenem","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.2299","Serratia marcescens ERR2174388","chloramphenicol","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.3188","Serratia marcescens ERR7428205","tobramycin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
615,"615.637","Serratia marcescens strain AR_0123","tobramycin","Susceptible","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.2300","Serratia marcescens ERR2174389","gentamicin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.3188","Serratia marcescens ERR7428205","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
615,"615.638","Serratia marcescens strain AR_0124","cefazolin","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.641","Serratia marcescens strain AR_0091","ampicillin","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.896","Serratia marcescens strain 333","gentamicin","Resistant","16",">=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.638","Serratia marcescens strain AR_0124","ciprofloxacin","Susceptible","<=0.12","<=","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
615,"615.899","Serratia marcescens strain 95","cefoxitin","Intermediate","16","=","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.2298","Serratia marcescens ERR2174387","amoxicillin","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.3186","Serratia marcescens ERR7221458","tigecycline","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
615,"615.896","Serratia marcescens strain 333","ceftazidime","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
615,"615.2299","Serratia marcescens ERR2174388","cefotaxime","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
615,"615.640","Serratia marcescens strain AR_0099","ampicillin/sulbactam","Resistant",">32/16",">","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
