"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
61645,"61645.208","Enterobacter asburiae strain 261","ertapenem","Susceptible","0.5","<=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.207","Enterobacter asburiae strain 112","cefazolin","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.209","Enterobacter asburiae strain 372","trimethoprim/sulfamethoxazole","Susceptible","1/19","<=","1/19","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.209","Enterobacter asburiae strain 372","nitrofurantoin","Susceptible","32","=","32","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.210","Enterobacter asburiae strain 416","piperacillin/tazobactam","Resistant","128/4",">=","128/4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.209","Enterobacter asburiae strain 372","tobramycin","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.209","Enterobacter asburiae strain 372","levofloxacin","Intermediate","4","=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.207","Enterobacter asburiae strain 112","cefoxitin","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.209","Enterobacter asburiae strain 372","cefoxitin","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.623","Enterobacter asburiae R_A5.MM","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
61645,"61645.948","Enterobacter asburiae ERR7419379","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
61645,"61645.211","Enterobacter asburiae strain FH-1","ampicillin/sulbactam","Resistant","16/8",">","16/8","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.211","Enterobacter asburiae strain FH-1","ceftriaxone","Resistant","32","=","32","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.212","Enterobacter asburiae strain MUGSI_172","tobramycin","Susceptible","0.5","<","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
61645,"61645.210","Enterobacter asburiae strain 416","ciprofloxacin","Susceptible","0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.208","Enterobacter asburiae strain 261","cefepime","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.210","Enterobacter asburiae strain 416","ceftazidime","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.212","Enterobacter asburiae strain MUGSI_172","polymyxin B","","8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
61645,"61645.209","Enterobacter asburiae strain 372","meropenem","Susceptible","0.5","=","0.5","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.623","Enterobacter asburiae R_A5.MM","colistin","Resistant",">4",">","4","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
61645,"61645.212","Enterobacter asburiae strain MUGSI_172","tigecycline","Susceptible","1","<","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
61645,"61645.208","Enterobacter asburiae strain 261","cefoxitin","Resistant","64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.210","Enterobacter asburiae strain 416","meropenem","Susceptible","0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.211","Enterobacter asburiae strain FH-1","cefuroxime","Resistant","16",">","16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.948","Enterobacter asburiae ERR7419379","cefoxitin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
61645,"61645.623","Enterobacter asburiae R_A5.MM","norfloxacin","",">8",">","8","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
61645,"61645.209","Enterobacter asburiae strain 372","tetracycline","Susceptible","4","=","4","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.207","Enterobacter asburiae strain 112","amoxicillin/clavulanic acid","Resistant","32/16",">=","32/16","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.208","Enterobacter asburiae strain 261","amikacin","Susceptible","2","<=","2","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.212","Enterobacter asburiae strain MUGSI_172","cefazolin","Resistant","8",">","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
61645,"61645.212","Enterobacter asburiae strain MUGSI_172","aztreonam","Resistant","64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
61645,"61645.623","Enterobacter asburiae R_A5.MM","amikacin","Susceptible","<=16","<=","16","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
61645,"61645.210","Enterobacter asburiae strain 416","gentamicin","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
61645,"61645.948","Enterobacter asburiae ERR7419379","amoxicillin/clavulanic acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
61645,"61645.210","Enterobacter asburiae strain 416","cefepime","Susceptible","1","<=","1","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","Laboratory Method","",""
