"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
61647,"61647.29","Pluralibacter gergoviae strain 40874","cefepime","",">16",">","16","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","cefuroxime","",">16",">","16","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","cefotaxime/clavulanic acidÂ ","",">4",">","4","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","doripenem","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","cefoxitin","",">16",">","16","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","tigecycline","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","amikacin","","<=4","<=","4","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","nitrofurantoin","",">64",">","64","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","ceftriaxone","",">32",">","32","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","cefotaxime","",">32",">","32","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","cefazolin","",">16",">","16","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","ampicillin/sulbactam","",">16/8",">","16/8","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
61647,"61647.29","Pluralibacter gergoviae strain 40874","ertapenem","","<=0.25","<=","0.25","mg/L","Broth dilution","","Sensititre GNX2F","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","","[27965456]"
