"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
61652,"61652.48","Serratia rubidaea ERR2174384","piperacillin/tazobactam","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.49","Serratia rubidaea ERR2174385","ciprofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.46","Serratia rubidaea ERR2174383","gentamicin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.46","Serratia rubidaea ERR2174383","cefotaxime","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.49","Serratia rubidaea ERR2174385","ofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.45","Serratia rubidaea ERR2174381","ciprofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.46","Serratia rubidaea ERR2174383","tigecycline","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.45","Serratia rubidaea ERR2174381","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.48","Serratia rubidaea ERR2174384","ciprofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.49","Serratia rubidaea ERR2174385","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.48","Serratia rubidaea ERR2174384","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.47","Serratia rubidaea ERR2174382","gentamicin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.47","Serratia rubidaea ERR2174382","ofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.50","Serratia rubidaea ERR2174386","colistin","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.48","Serratia rubidaea ERR2174384","gentamicin","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.45","Serratia rubidaea ERR2174381","chloramphenicol","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.49","Serratia rubidaea ERR2174385","piperacillin/tazobactam","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.47","Serratia rubidaea ERR2174382","cefotaxime","Intermediate","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.49","Serratia rubidaea ERR2174385","chloramphenicol","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.47","Serratia rubidaea ERR2174382","tigecycline","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.48","Serratia rubidaea ERR2174384","colistin","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.45","Serratia rubidaea ERR2174381","piperacillin/tazobactam","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.46","Serratia rubidaea ERR2174383","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.49","Serratia rubidaea ERR2174385","tigecycline","Susceptible","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
61652,"61652.50","Serratia rubidaea ERR2174386","cefotaxime","Resistant","","","","","Disk diffusion","","","","CLSI","","","","","Laboratory Method","","[30107587]"
