"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
616,"616.14","Serratia sp. strain gn1089","cefotaxime","","32","","32","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","amoxicillin","","512","","512","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","tetracycline","","8","","8","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","imipenem","","0.5","","0.5","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","minocycline","","32","","32","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","amoxicillin/clavulanic acid","","64","","64","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","gentamicin","","0.5","","0.5","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","piperacillin/tazobactam","","32","","32","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","amoxicillin","","256","","256","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","ciprofloxacin","","64","","64","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","cefuroxime","","256","","256","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","ceftazidime","","1","","1","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","piperacillin/tazobactam","","64","","64","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","cefoxitin","","64","","64","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","imipenem","","0.25","","0.25","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","ciprofloxacin","","2","","2","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","tigecycline","","2","","2","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","cefoxitin","","256","","256","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","minocycline","","2","","2","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","ceftazidime","","2","","2","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","tigecycline","","0.5","","0.5","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","amoxicillin/clavulanic acid","","64","","64","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","gentamicin","","0.5","","0.5","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","cefuroxime","","256","","256","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.13","Serratia sp. strain gn1125","cefotaxime","","16","","16","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
616,"616.14","Serratia sp. strain gn1089","tetracycline","","256","","256","mg/L","Broth dilution","","","","EUCAST",2016,"","","","Laboratory Method","","[27432456]"
