"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
621,"621.168","Shigella boydii strain ESBL-T013","ceftriaxone","Resistant","","=","10","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.161","Shigella boydii strain ECFood+03","ceftriaxone","Resistant","","=","16","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.149","Shigella boydii strain ECH+10","ceftriaxone","Resistant","","=","12","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.157","Shigella boydii strain ECCTRSRTH11","colistin","Resistant","","=","10","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.154","Shigella boydii strain ECH+23","ceftriaxone","Resistant","","=","16","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.151","Shigella boydii strain ECSW+09","ceftriaxone","Resistant","","=","16","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.166","Shigella boydii strain ESBL-A16-4-1","ceftriaxone","Resistant","","=","12","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.155","Shigella boydii strain ECH+06","ceftriaxone","Resistant","","=","14","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.169","Shigella boydii strain ESBL-W3-2","ceftriaxone","Resistant","","=","6","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.167","Shigella boydii strain ESBL-A07-8-2","ceftriaxone","Resistant","","=","14","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.152","Shigella boydii strain ECSW+11","ceftriaxone","Resistant","","=","15","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.153","Shigella boydii strain ECH+05","ceftriaxone","Resistant","","=","10","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.156","Shigella boydii strain ECPSTH05","ceftriaxone","Resistant","","=","128","mg/L","Agar dilution","","","","","","","","","Laboratory Method","",""
621,"621.150","Shigella boydii strain ECSW+04","ceftriaxone","Resistant","","=","12","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.166","Shigella boydii strain ESBL-A16-4-1","ceftriaxone","Resistant","==12","=","12","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.169","Shigella boydii strain ESBL-W3-2","ceftriaxone","Resistant","==6","=","6","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.167","Shigella boydii strain ESBL-A07-8-2","ceftriaxone","Resistant","==14","=","14","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
621,"621.168","Shigella boydii strain ESBL-T013","ceftriaxone","Resistant","==10","=","10","mm","Disk diffusion","","","","","","","","","Laboratory Method","",""
