"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
644,"644.1529","Aeromonas hydrophila 2","amikacin","Susceptible","<=8","<=","8","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","aztreonam","Resistant",">16",">","16","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","cefepime","Resistant",">16",">","16","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","cefoxitin","Resistant",">16",">","16","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","ceftazidime","Resistant","==16","==","16","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","ceftazidime-avibactam","Not defined","==8/4","==","8/4","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","ceftolozane-tazobactam","Not defined","==32/4","==","32/4","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","ceftriaxone","Resistant",">32",">","32","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","cefuroxime","Resistant",">16",">","16","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","ertapenem","Resistant",">2",">","2","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","gentamicin","Intermediate","==8","==","8","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","imipenem-relebactam","Not defined","==4/4","==","4/4","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","levofloxacin","Susceptible","==2","==","2","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","meropenem","Resistant","==7","==","7","mm","disk diffusion","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","piperacillin-tazobactam","Resistant",">64/4",">","64/4","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","tetracycline","Susceptible","==4","==","4","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1529","Aeromonas hydrophila 2","trimethoprim-sulfamethoxazole","Resistant",">2/38",">","2/38","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","amikacin","Susceptible","<=8","<=","8","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","aztreonam","Resistant",">16",">","16","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","cefepime","Resistant",">16",">","16","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","ceftazidime","Resistant","==16","==","16","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","ceftazidime-avibactam","Not defined","==8/4","==","8/4","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","ceftriaxone","Resistant",">32",">","32","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","ertapenem","Resistant",">2",">","2","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","gentamicin","Intermediate","==8","==","8","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","imipenem-relebactam","Not defined","==20","==","20","mm","disk diffusion","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","piperacillin-tazobactam","Resistant",">64/4",">","64/4","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","tetracycline","Susceptible","==4","==","4","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","trimethoprim-sulfamethoxazole","Resistant",">2/38",">","2/38","mg/L","MIC","","","","CLSI","","","","","","",""
644,"644.1528","Aeromonas hydrophila 3","cefiderocol","Not defined","==22","==","22","mm","disk diffusion","","","","CLSI","","","","","","",""
