"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
648,"648.1213","Aeromonas caviae 62i","gentamicin","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","ertapenem","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","imipenem","Susceptible","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1213","Aeromonas caviae 62i","cefepime","Resistant","==16","=","16","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","ertapenem","Resistant","==16","=","16","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","cefepime","Resistant",">64",">","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","amikacin","Susceptible","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","ciprofloxacin","Resistant","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","cefotaxime","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","imipenem","Susceptible","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1213","Aeromonas caviae 62i","ciprofloxacin","Susceptible","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","meropenem","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","cefotaxime","Intermediate","==2","=","2","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","cefepime","Resistant",">64",">","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","imipenem","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1213","Aeromonas caviae 62i","imipenem","Susceptible","==0.5","=","0.5","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","ceftazidime","Resistant",">64",">","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","gentamicin","Resistant","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","cefepime","Resistant","==16","=","16","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","cefotaxime","Intermediate","==2","=","2","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1213","Aeromonas caviae 62i","ceftazidime","Resistant",">64",">","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","meropenem","Resistant","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","ertapenem","Resistant","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","amikacin","Susceptible","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","ceftazidime","Resistant","==32","=","32","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","gentamicin","Susceptible","<=0.5","<=","0.5","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","ciprofloxacin","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","amikacin","Resistant","==64","=","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","cefotaxime","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","amikacin","Resistant","==64","=","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","ceftazidime","Resistant","==64","=","64","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","meropenem","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1213","Aeromonas caviae 62i","amikacin","Susceptible","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","ceftazidime","Resistant","==32","=","32","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","meropenem","Resistant","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","gentamicin","Resistant","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1213","Aeromonas caviae 62i","ertapenem","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1216","Aeromonas caviae 36v","ciprofloxacin","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1215","Aeromonas caviae 1v","ciprofloxacin","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1217","Aeromonas caviae 6v","imipenem","Resistant","==8","=","8","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","gentamicin","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1213","Aeromonas caviae 62i","cefotaxime","Susceptible","==1","=","1","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","cefepime","Resistant","==16","=","16","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1214","Aeromonas caviae 65i","ertapenem","Resistant","==4","=","4","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
648,"648.1213","Aeromonas caviae 62i","meropenem","Intermediate","==2","=","2","mg/L","MIC","96-Well Plate","","","CLSI","","","","","","",""
