"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
678932,"678932.20","Auritidibacter ignavus BABAE-1","teicoplanin","","<=0.125","<=","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","rifampin","","<=0.063","<=","0.063","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","cefoxitin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","penicillin","","<=0.25","<=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","daptomycin","","==2","=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","teicoplanin","","<=0.125","<=","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","trimethoprim/sulfamethoxazole","","<=0.0625/1.1875","<=","0.0625/1.1875","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","mupirocin","",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.16","Auritidibacter ignavus BABAE-5","clindamycin","",">0.5",">","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","fosfomycin","",">128",">","128","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.16","Auritidibacter ignavus BABAE-5","fosfomycin","",">64",">","64","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","fusidic acid","","<=1","<=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","penicillin","","==0.125","=","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","oxacillin","","==1","=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","moxifloxacin","","==0.5","=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","oxacillin","","==1","=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","tigecycline","","<=0.125","<=","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.16","Auritidibacter ignavus BABAE-5","gentamicin","",">8",">","8","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","moxifloxacin","",">2",">","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","daptomycin","","<=0.5","<=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","fusidic acid","","<=1","<=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","fusidic acid","","<=1","<=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.16","Auritidibacter ignavus BABAE-5","erythromycin","",">4",">","4","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","moxifloxacin","","==1","=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.16","Auritidibacter ignavus BABAE-5","ceftaroline","","<=0.25","<=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","clindamycin","","<=0.5","<=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","fosfomycin","",">64",">","64","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","fosfomycin","",">64",">","64","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","daptomycin","","<=0.5","<=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","cefoxitin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","linezolid","","<=1","<=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","gentamicin","","<=0.5","<=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","penicillin","","==0.25","=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","penicillin","","==0.5","=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","oxacillin","","==2","=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.16","Auritidibacter ignavus BABAE-5","vancomycin","","<=0.25","<=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","daptomycin","","<=0.5","<=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","ceftaroline","","<=0.25","<=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","clindamycin","",">0.5",">","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","fusidic acid","",">2",">","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","teicoplanin","","<=0.125","<=","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","cefoxitin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","ampicillin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","vancomycin","","<=0.25","<=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","rifampin","","<=0.063","<=","0.063","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.16","Auritidibacter ignavus BABAE-5","ampicillin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","gentamicin","",">8",">","8","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","penicillin","","==0.25","=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","moxifloxacin","","==1","=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","trimethoprim/sulfamethoxazole","",">4/76",">","4/76","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","mupirocin","",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","clindamycin","",">0.5",">","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","teicoplanin","","==1","=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","ampicillin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","fusidic acid","","==2","=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","mupirocin","",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","cefoxitin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","oxacillin","","==1","=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","teicoplanin","","==0.25","=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","linezolid","","<=1","<=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","mupirocin","",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","erythromycin","","==4","=","4","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","daptomycin","","<=0.5","<=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.20","Auritidibacter ignavus BABAE-1","cefoxitin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","erythromycin","",">4",">","4","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","mupirocin","",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","trimethoprim/sulfamethoxazole","","==0.5/9.5","=","0.5/9.5","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","gentamicin","",">8",">","8","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","ampicillin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.22","Auritidibacter ignavus BABAE-7","tigecycline","","<=0.125","<=","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.16","Auritidibacter ignavus BABAE-5","daptomycin","","==4","=","4","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","rifampin","","<=0.063","<=","0.063","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","fosfomycin","",">64",">","64","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.19","Auritidibacter ignavus BABAE-3","teicoplanin","","<=0.125","<=","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.17","Auritidibacter ignavus BABAE-2","linezolid","","<=1","<=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.23","Auritidibacter ignavus BABAE-6","ceftaroline","","<=0.25","<=","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.21","Auritidibacter ignavus BABAE-8","fosfomycin","",">128",">","128","mg/L","MIC","","","","EUCAST","","","","","","",""
678932,"678932.18","Auritidibacter ignavus BABAE-4","ampicillin","","<=2","<=","2","mg/L","MIC","","","","EUCAST","","","","","","",""
