"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
698964,"698964.3","Corynebacterium diphtheriae PW8","pristimycin","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2013,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","sulfonamides","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2013,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","clarithromycin","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2013,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","clindamycin","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2019,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2019,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","amoxicillin","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2013,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","ciprofloxacin","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2019,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","cefotaxime","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2013,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","penicillin","Resistant","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2013,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","rifampin","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2013,"","","","Laboratory Method","","[33246485]"
698964,"698964.3","Corynebacterium diphtheriae PW8","penicillin","Susceptible","","","","","Disk diffusion","","Mueller Hinton Agar","Bio-Rad","eucast",2013,"","","","Laboratory Method","","[33246485]"
