"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
715,"715.150","Actinobacillus pleuropneumoniae strain MIDG3362","tylosin","","2","","2","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.149","Actinobacillus pleuropneumoniae strain MIDG3360","tylosin","","64","","64","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.139","Actinobacillus pleuropneumoniae strain MIDG3234","tetracycline","","16","","16","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.108","Actinobacillus pleuropneumoniae strain MIDG2665","sulfisoxazole","","32","","32","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.138","Actinobacillus pleuropneumoniae strain MIDG3341","tetracycline","","16","","16","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.113","Actinobacillus pleuropneumoniae strain MIDG3203","tylosin","","2","","2","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.97","Actinobacillus pleuropneumoniae strain MIDG2652","sulfisoxazole","","6","","6","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.106","Actinobacillus pleuropneumoniae strain MIDG2663","tylosin","","2","","2","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.134","Actinobacillus pleuropneumoniae strain MIDG3232","sulfisoxazole","",">=512",">=","512","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
715,"715.98","Actinobacillus pleuropneumoniae strain MIDG2651","tylosin","","2","","2","mg/L","Agar dilution","","","","CLSI",2013,"","","","Laboratory Method","","[28321207]"
