"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
727,"727.1579","Haemophilus influenzae strain PTHi-3514","cefepime","Susceptible","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1566","Haemophilus influenzae strain PTHi-2060","ampicillin","Resistant","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1514","Haemophilus influenzae strain PTHi-10983","trimethoprim/sulfamethoxazole","Susceptible","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1528","Haemophilus influenzae strain PTHi-12411","trimethoprim/sulfamethoxazole","Resistant","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1547","Haemophilus influenzae strain PTHi-13351","ampicillin","Susceptible","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1550","Haemophilus influenzae strain PTHi-13278","tetracycline","Susceptible","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1538","Haemophilus influenzae strain PTHi-13064","cefepime","Susceptible","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1567","Haemophilus influenzae strain PTHi-3410","cefepime","Susceptible","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1525","Haemophilus influenzae strain PTHi-12301","ampicillin","Resistant","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
727,"727.1557","Haemophilus influenzae strain PTHi-1443","trimethoprim/sulfamethoxazole","Susceptible","","","","","Broth dilution","","","Beckman Coulter Inc","EUCAST",2018,"","","","Laboratory Method","30391557","[30391557]"
