"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
74703,"74703.11","Staphylococcus capitis subsp. urealyticus Sc1365750","vancomycin","Susceptible","==4","==","4","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.15","Staphylococcus capitis subsp. urealyticus Sc1365688","linezolid","Susceptible","==2","==","2","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.17","Staphylococcus capitis subsp. urealyticus Sc1365674","clindamycin","Susceptible","==0.25","==","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.9","Staphylococcus capitis subsp. urealyticus Sc1365754","ciprofloxacin","Intermediate","==0.25","==","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.21","Staphylococcus capitis subsp. urealyticus Sc1365665","rifampin","Susceptible","==0.032","==","0.032","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.24","Staphylococcus capitis subsp. urealyticus DSM 6717","mupirocin","","<=0.5","<=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.23","Staphylococcus capitis subsp. urealyticus Sc1191092","erythromycin","Susceptible","==0.25","==","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.7","Staphylococcus capitis subsp. urealyticus Sc1516941","erythromycin","Resistant",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.8","Staphylococcus capitis subsp. urealyticus Sc1516939","fusidic acid","Susceptible","==0.125","==","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.8","Staphylococcus capitis subsp. urealyticus Sc1516939","cefoxitin","","==4","==","4","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.19","Staphylococcus capitis subsp. urealyticus Sc1365670","levofloxacin","Intermediate","<=0.5","<=","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.12","Staphylococcus capitis subsp. urealyticus Sc1365706","rifampin","Susceptible","==0.016","==","0.016","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.12","Staphylococcus capitis subsp. urealyticus Sc1365706","erythromycin","Resistant",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.12","Staphylococcus capitis subsp. urealyticus Sc1365706","linezolid","Susceptible","==1","==","1","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.19","Staphylococcus capitis subsp. urealyticus Sc1365670","teicoplanin","Susceptible","<=1","<=","1","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.6","Staphylococcus capitis subsp. urealyticus Sc1516943","linezolid","Susceptible","==2","==","2","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.5","Staphylococcus capitis subsp. urealyticus Sc1516945","daptomycin","Susceptible","==1","==","1","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.6","Staphylococcus capitis subsp. urealyticus Sc1516943","mupirocin","","==0.125","==","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.14","Staphylococcus capitis subsp. urealyticus Sc1365695","fusidic acid","Susceptible","==0.125","==","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.17","Staphylococcus capitis subsp. urealyticus Sc1365674","daptomycin","Susceptible","==1","==","1","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.17","Staphylococcus capitis subsp. urealyticus Sc1365674","rifampin","Susceptible","==0.032","==","0.032","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.16","Staphylococcus capitis subsp. urealyticus Sc1365682","ciprofloxacin","Intermediate","==0.125","==","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.7","Staphylococcus capitis subsp. urealyticus Sc1516941","ciprofloxacin","Intermediate","==0.125","==","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.15","Staphylococcus capitis subsp. urealyticus Sc1365688","erythromycin","Resistant",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.9","Staphylococcus capitis subsp. urealyticus Sc1365754","daptomycin","Susceptible","==0.5","==","0.5","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.6","Staphylococcus capitis subsp. urealyticus Sc1516943","gentamicin","Susceptible","==0.032","==","0.032","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.16","Staphylococcus capitis subsp. urealyticus Sc1365682","mupirocin","","==0.25","==","0.25","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.12","Staphylococcus capitis subsp. urealyticus Sc1365706","teicoplanin","Susceptible","==1","==","1","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.13","Staphylococcus capitis subsp. urealyticus Sc1365701","gentamicin","Susceptible","==0.064","==","0.064","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.23","Staphylococcus capitis subsp. urealyticus Sc1191092","clindamycin","Susceptible","==0.125","==","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.16","Staphylococcus capitis subsp. urealyticus Sc1365682","rifampin","Susceptible","==0.064","==","0.064","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.20","Staphylococcus capitis subsp. urealyticus Sc1365666","clindamycin","Susceptible","==0.125","==","0.125","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.22","Staphylococcus capitis subsp. urealyticus Sc1191106","gentamicin","Resistant","==8","==","8","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.16","Staphylococcus capitis subsp. urealyticus Sc1365682","fusidic acid","Resistant","==32","==","32","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.19","Staphylococcus capitis subsp. urealyticus Sc1365670","cefoxitin","","==4","==","4","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.14","Staphylococcus capitis subsp. urealyticus Sc1365695","rifampin","Resistant",">32",">","32","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.16","Staphylococcus capitis subsp. urealyticus Sc1365682","linezolid","Susceptible","==4","==","4","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.7","Staphylococcus capitis subsp. urealyticus Sc1516941","vancomycin","Susceptible","==2","==","2","mg/L","MIC","","","","EUCAST","","","","","","",""
74703,"74703.21","Staphylococcus capitis subsp. urealyticus Sc1365665","cefoxitin","",">256",">","256","mg/L","MIC","","","","EUCAST","","","","","","",""
